pack:0 ax, -0.0312653 ay, 0.258804 az, 9.7706
GoogleYaw, -0.897413 GooglePitch, -0.0276689 GoogleRoll, 0.00376559
pack:0 ax, -0.0312653 ay, 0.258804 az, 9.7706
GoogleYaw, -0.897413 GooglePitch, -0.0276689 GoogleRoll, 0.00376559
pack:0 ax, -0.0312653 ay, 0.258804 az, 9.7706
GoogleYaw, -0.897413 GooglePitch, -0.0276689 GoogleRoll, 0.00376559
pack:0 ax, -0.0312653 ay, 0.258804 az, 9.7706
GoogleYaw, -0.897557 GooglePitch, -0.0277112 GoogleRoll, 0.00384016
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.74918
GoogleYaw, -0.897557 GooglePitch, -0.0277112 GoogleRoll, 0.00384016
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.74918
GoogleYaw, -0.897557 GooglePitch, -0.0277112 GoogleRoll, 0.00384016
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.74918
GoogleYaw, -0.897557 GooglePitch, -0.0277112 GoogleRoll, 0.00384016
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.74918
GoogleYaw, -0.897466 GooglePitch, -0.0276816 GoogleRoll, 0.00379611
pack:0 ax, -0.0717316 ay, 0.246902 az, 9.74918
GoogleYaw, -0.897466 GooglePitch, -0.0276816 GoogleRoll, 0.00379611
pack:0 ax, -0.0717316 ay, 0.246902 az, 9.74918
GoogleYaw, -0.897466 GooglePitch, -0.0276816 GoogleRoll, 0.00379611
pack:0 ax, -0.0717316 ay, 0.246902 az, 9.74918
GoogleYaw, -0.897265 GooglePitch, -0.0275755 GoogleRoll, 0.00375214
pack:0 ax, -0.0717316 ay, 0.246902 az, 9.74918
GoogleYaw, -0.897265 GooglePitch, -0.0275755 GoogleRoll, 0.00375214
pack:0 ax, -0.0336456 ay, 0.282608 az, 9.74203
GoogleYaw, -0.897288 GooglePitch, -0.0274913 GoogleRoll, 0.00388063
pack:0 ax, -0.0336456 ay, 0.282608 az, 9.74203
GoogleYaw, -0.897358 GooglePitch, -0.0275529 GoogleRoll, 0.00386459
pack:0 ax, -0.055069 ay, 0.277847 az, 9.78488
GoogleYaw, -0.897358 GooglePitch, -0.0275529 GoogleRoll, 0.00386459
pack:0 ax, -0.055069 ay, 0.277847 az, 9.78488
GoogleYaw, -0.897358 GooglePitch, -0.0275529 GoogleRoll, 0.00386459
pack:0 ax, -0.0265045 ay, 0.239761 az, 9.7825
GoogleYaw, -0.897358 GooglePitch, -0.0275529 GoogleRoll, 0.00386459
pack:0 ax, -0.0265045 ay, 0.239761 az, 9.7825
GoogleYaw, -0.897358 GooglePitch, -0.0275529 GoogleRoll, 0.00386459
pack:0 ax, -0.0265045 ay, 0.239761 az, 9.7825
GoogleYaw, -0.897358 GooglePitch, -0.0275529 GoogleRoll, 0.00386459
pack:0 ax, -0.0265045 ay, 0.239761 az, 9.7825
GoogleYaw, -0.897477 GooglePitch, -0.0275922 GoogleRoll, 0.00392168
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.72775
GoogleYaw, -0.897477 GooglePitch, -0.0275922 GoogleRoll, 0.00392168
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.72775
GoogleYaw, -0.897477 GooglePitch, -0.0275922 GoogleRoll, 0.00392168
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.72775
GoogleYaw, -0.897477 GooglePitch, -0.0275922 GoogleRoll, 0.00392168
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.72775
GoogleYaw, -0.89727 GooglePitch, -0.02748 GoogleRoll, 0.00387936
pack:0 ax, -0.055069 ay, 0.270706 az, 9.78012
GoogleYaw, -0.89727 GooglePitch, -0.02748 GoogleRoll, 0.00387936
pack:0 ax, -0.055069 ay, 0.270706 az, 9.78012
GoogleYaw, -0.89727 GooglePitch, -0.02748 GoogleRoll, 0.00387936
pack:0 ax, -0.055069 ay, 0.270706 az, 9.78012
GoogleYaw, -0.897126 GooglePitch, -0.0274313 GoogleRoll, 0.00381236
pack:0 ax, -0.055069 ay, 0.270706 az, 9.78012
GoogleYaw, -0.897126 GooglePitch, -0.0274313 GoogleRoll, 0.00381236
pack:0 ax, -0.0645905 ay, 0.23262 az, 9.78726
GoogleYaw, -0.897149 GooglePitch, -0.0274097 GoogleRoll, 0.00386067
pack:0 ax, -0.0645905 ay, 0.23262 az, 9.78726
GoogleYaw, -0.897072 GooglePitch, -0.0272781 GoogleRoll, 0.00396088
pack:0 ax, -0.00984192 ay, 0.275467 az, 9.72537
GoogleYaw, -0.897072 GooglePitch, -0.0272781 GoogleRoll, 0.00396088
pack:0 ax, -0.0312653 ay, 0.287369 az, 9.74918
GoogleYaw, -0.897072 GooglePitch, -0.0272781 GoogleRoll, 0.00396088
pack:0 ax, -0.0312653 ay, 0.287369 az, 9.74918
GoogleYaw, -0.897072 GooglePitch, -0.0272781 GoogleRoll, 0.00396088
pack:0 ax, -0.0312653 ay, 0.287369 az, 9.74918
GoogleYaw, -0.897072 GooglePitch, -0.0272781 GoogleRoll, 0.00396088
pack:0 ax, -0.0312653 ay, 0.287369 az, 9.74918
GoogleYaw, -0.897059 GooglePitch, -0.0273236 GoogleRoll, 0.00389044
pack:0 ax, -0.036026 ay, 0.270706 az, 9.71109
GoogleYaw, -0.897059 GooglePitch, -0.0273236 GoogleRoll, 0.00389044
pack:0 ax, -0.036026 ay, 0.270706 az, 9.71109
GoogleYaw, -0.897059 GooglePitch, -0.0273236 GoogleRoll, 0.00389044
pack:0 ax, -0.036026 ay, 0.270706 az, 9.71109
GoogleYaw, -0.897059 GooglePitch, -0.0273236 GoogleRoll, 0.00389044
pack:0 ax, -0.036026 ay, 0.270706 az, 9.71109
GoogleYaw, -0.897169 GooglePitch, -0.0273961 GoogleRoll, 0.0038961
pack:0 ax, -0.0146027 ay, 0.280228 az, 9.68729
GoogleYaw, -0.897169 GooglePitch, -0.0273961 GoogleRoll, 0.0038961
pack:0 ax, -0.0146027 ay, 0.280228 az, 9.68729
GoogleYaw, -0.897169 GooglePitch, -0.0273961 GoogleRoll, 0.0038961
pack:0 ax, -0.0146027 ay, 0.280228 az, 9.68729
GoogleYaw, -0.897184 GooglePitch, -0.0274129 GoogleRoll, 0.00388837
pack:0 ax, -0.0146027 ay, 0.280228 az, 9.68729
GoogleYaw, -0.897184 GooglePitch, -0.0274129 GoogleRoll, 0.00388837
pack:0 ax, -0.0693512 ay, 0.289749 az, 9.79202
GoogleYaw, -0.897184 GooglePitch, -0.0274129 GoogleRoll, 0.00388837
pack:0 ax, -0.0693512 ay, 0.289749 az, 9.79202
