acceleration:x,y,z,Orientation:yaw,pitch,roll
-6.86293, 7.30946, -0.434052, -0.368125, -0.802738, 1.6938
-6.86293, 7.30946, -0.434052, -0.368125, -0.802738, 1.6938
-6.86293, 7.30946, -0.434052, -0.368125, -0.802738, 1.6938
-6.86293, 7.30946, -0.434052, -0.367042, -0.801845, 1.68963
-6.85341, 7.17378, -0.657806, -0.367042, -0.801845, 1.68963
-6.85341, 7.17378, -0.657806, -0.367042, -0.801845, 1.68963
-6.85341, 7.17378, -0.657806, -0.367042, -0.801845, 1.68963
-6.85341, 7.17378, -0.657806, -0.364732, -0.800399, 1.68858
-6.92958, 7.10475, -0.769684, -0.364732, -0.800399, 1.68858
-6.92958, 7.10475, -0.769684, -0.364732, -0.800399, 1.68858
-6.92958, 7.10475, -0.769684, -0.364732, -0.800399, 1.68858
-6.92958, 7.10475, -0.769684, -0.362552, -0.798712, 1.68882
-6.87483, 7.01192, -0.660187, -0.362552, -0.798712, 1.68882
-6.87483, 7.01192, -0.660187, -0.362552, -0.798712, 1.68882
-6.87483, 7.01192, -0.660187, -0.362552, -0.798712, 1.68882
-6.87483, 7.01192, -0.660187, -0.360203, -0.796801, 1.68918
-6.96291, 7.04048, -0.845856, -0.360203, -0.796801, 1.68918
-6.96291, 7.04048, -0.845856, -0.356751, -0.794857, 1.6887
-7.05336, 6.98573, -0.964874, -0.356751, -0.794857, 1.6887
-7.05336, 6.98573, -0.964874, -0.356751, -0.794857, 1.6887
-7.05336, 6.98573, -0.964874, -0.356751, -0.794857, 1.6887
-7.05336, 6.98573, -0.964874, -0.353855, -0.792733, 1.68904
-7.04622, 6.94051, -1.1553, -0.353855, -0.792733, 1.68904
-7.04622, 6.94051, -1.1553, -0.351602, -0.79029, 1.6902
-7.04622, 6.94051, -1.1553, -0.351602, -0.79029, 1.6902
-7.04622, 6.94051, -1.1553, -0.351602, -0.79029, 1.6902
-7.02956, 7.0143, -1.13864, -0.351602, -0.79029, 1.6902
-7.02956, 7.0143, -1.13864, -0.351602, -0.79029, 1.6902
-7.02956, 7.0143, -1.13864, -0.351602, -0.79029, 1.6902
-7.02956, 7.0143, -1.13864, -0.351197, -0.787952, 1.69162
-7.35805, 7.05714, -0.750641, -0.351197, -0.787952, 1.69162
