pack:0 ax, -0.0407867 ay, 0.261185 az, 9.76584
GoogleYaw, -0.895474 GooglePitch, -0.0264248 GoogleRoll, 0.00361809
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.76584
GoogleYaw, -0.895496 GooglePitch, -0.026415 GoogleRoll, 0.00365028
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.76584
GoogleYaw, -0.895496 GooglePitch, -0.026415 GoogleRoll, 0.00365028
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.76584
GoogleYaw, -0.895496 GooglePitch, -0.026415 GoogleRoll, 0.00365028
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.74203
GoogleYaw, -0.895496 GooglePitch, -0.026415 GoogleRoll, 0.00365028
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.74203
GoogleYaw, -0.895496 GooglePitch, -0.026415 GoogleRoll, 0.00365028
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.74203
GoogleYaw, -0.895496 GooglePitch, -0.026415 GoogleRoll, 0.00365028
pack:0 ax, -0.0526886 ay, 0.246902 az, 9.74203
GoogleYaw, -0.89551 GooglePitch, -0.0264134 GoogleRoll, 0.00366485
pack:0 ax, -0.0669708 ay, 0.263565 az, 9.84201
GoogleYaw, -0.89551 GooglePitch, -0.0264134 GoogleRoll, 0.00366485
pack:0 ax, -0.0669708 ay, 0.263565 az, 9.84201
GoogleYaw, -0.89551 GooglePitch, -0.0264134 GoogleRoll, 0.00366485
pack:0 ax, -0.0669708 ay, 0.263565 az, 9.84201
GoogleYaw, -0.89551 GooglePitch, -0.0264134 GoogleRoll, 0.00366485
pack:0 ax, -0.0669708 ay, 0.263565 az, 9.84201
GoogleYaw, -0.895526 GooglePitch, -0.0263653 GoogleRoll, 0.0037407
pack:0 ax, -0.0479279 ay, 0.318314 az, 9.76108
GoogleYaw, -0.895526 GooglePitch, -0.0263653 GoogleRoll, 0.0037407
pack:0 ax, -0.0479279 ay, 0.318314 az, 9.76108
GoogleYaw, -0.895703 GooglePitch, -0.0263872 GoogleRoll, 0.00387171
pack:0 ax, -0.0384064 ay, 0.289749 az, 9.7587
GoogleYaw, -0.896041 GooglePitch, -0.026592 GoogleRoll, 0.00391361
