acceleration:x,y,z,Orientation:yaw,pitch,roll
-0.0336456, 0.308792, 9.66586, -0.030118, -0.499345, 0.00535852
-0.0336456, 0.308792, 9.66586, -0.0301148, -0.499538, 0.00545192
-0.0574493, 0.308792, 9.65158, -0.0301148, -0.499538, 0.00545192
-0.0574493, 0.308792, 9.65158, -0.0301853, -0.499508, 0.0053987
-0.0622101, 0.308792, 9.75156, -0.0301853, -0.499508, 0.0053987
-0.0622101, 0.308792, 9.75156, -0.0302651, -0.499687, 0.0054393
-0.0455475, 0.315933, 9.68967, -0.0302651, -0.499687, 0.0054393
-0.0455475, 0.315933, 9.68967, -0.0302651, -0.499687, 0.0054393
-0.0455475, 0.315933, 9.68967, -0.0302651, -0.499687, 0.0054393
-0.0431671, 0.311172, 9.70633, -0.0303971, -0.499835, 0.00543637
-0.00984192, 0.275467, 9.67062, -0.0303971, -0.499835, 0.00543637
-0.00984192, 0.275467, 9.67062, -0.0304417, -0.499842, 0.00541472
-0.0717316, 0.29689, 9.62302, -0.0304417, -0.499842, 0.00541472
-0.0717316, 0.29689, 9.62302, -0.0303659, -0.499448, 0.00526991
-0.0717316, 0.29689, 9.62302, -0.0303659, -0.499448, 0.00526991
-0.0503082, 0.251663, 9.69443, -0.0303659, -0.499448, 0.00526991
-0.0503082, 0.251663, 9.69443, -0.0303814, -0.499578, 0.00532335
-0.0455475, 0.311172, 9.7587, -0.0303814, -0.499578, 0.00532335
-0.0455475, 0.311172, 9.7587, -0.0302335, -0.4994, 0.00532055
-0.0455475, 0.280228, 9.70633, -0.0302758, -0.49946, 0.00532549
-0.0455475, 0.280228, 9.70633, -0.0302758, -0.49946, 0.00532549
-0.0526886, 0.308792, 9.66586, -0.0302758, -0.49946, 0.00532549
-0.0526886, 0.308792, 9.66586, -0.0302368, -0.499424, 0.00533035
-0.0645905, 0.287369, 9.66348, -0.0302368, -0.499424, 0.00533035
-0.0645905, 0.287369, 9.66348, -0.0303138, -0.499592, 0.00536703
-0.0479279, 0.287369, 9.73489, -0.0303138, -0.499592, 0.00536703
-0.0479279, 0.287369, 9.73489, -0.0303145, -0.499667, 0.00540257
-0.0479279, 0.287369, 9.73489, -0.0303145, -0.499667, 0.00540257
-0.0455475, 0.299271, 9.70157, -0.0303145, -0.499667, 0.00540257
-0.0455475, 0.299271, 9.70157, -0.0302974, -0.499574, 0.00536785
-0.0455475, 0.299271, 9.70157, -0.0302942, -0.499526, 0.00534651
-0.0288849, 0.289749, 9.73251, -0.0302942, -0.499526, 0.00534651
-0.0288849, 0.289749, 9.73251, -0.0302942, -0.499526, 0.00534651
-0.0669708, 0.29451, 9.71109, -0.0302942, -0.499526, 0.00534651
-0.0669708, 0.29451, 9.71109, -0.0302658, -0.499285, 0.00524811
-0.0669708, 0.29451, 9.71109, -0.0302658, -0.499285, 0.00524811
-0.0669708, 0.287369, 9.68491, -0.0302658, -0.499285, 0.00524811
-0.0669708, 0.287369, 9.68491, -0.0302672, -0.499385, 0.00529486
-0.0788727, 0.304031, 9.78012, -0.0302672, -0.499385, 0.00529486
-0.0788727, 0.304031, 9.78012, -0.0302467, -0.499522, 0.00537132
-0.0788727, 0.304031, 9.78012, -0.0302467, -0.499522, 0.00537132
-0.0883942, 0.301651, 9.67062, -0.0302467, -0.499522, 0.00537132
-0.0883942, 0.301651, 9.67062, -0.0302467, -0.499522, 0.00537132
-0.0883942, 0.301651, 9.67062, -0.0302742, -0.499771, 0.00547381
-0.0312653, 0.299271, 9.70871, -0.0302934, -0.500055, 0.00559805
-0.0312653, 0.299271, 9.70871, -0.0302934, -0.500055, 0.00559805
-0.0860138, 0.227859, 9.72061, -0.0302934, -0.500055, 0.00559805
-0.0860138, 0.227859, 9.72061, -0.0303002, -0.499857, 0.00550059
-0.0860138, 0.227859, 9.72061, -0.0303002, -0.499857, 0.00550059
-0.0503082, 0.282608, 9.65396, -0.0303002, -0.499857, 0.00550059
-0.0503082, 0.282608, 9.65396, -0.0300706, -0.499786, 0.0055942
-0.0574493, 0.282608, 9.74442, -0.0300706, -0.499786, 0.0055942
-0.0574493, 0.282608, 9.74442, -0.0300434, -0.499755, 0.00559444
-0.0907745, 0.284988, 9.67538, -0.0300434, -0.499755, 0.00559444
-0.0907745, 0.284988, 9.67538, -0.0299979, -0.499728, 0.00560677
-0.0907745, 0.284988, 9.67538, -0.0299979, -0.499728, 0.00560677
-0.0764923, 0.299271, 9.67776, -0.0299792, -0.49993, 0.00571321
-0.0598297, 0.277847, 9.71585, -0.0299792, -0.49993, 0.00571321
-0.0598297, 0.277847, 9.71585, -0.0300099, -0.50008, 0.00576731
-0.0193634, 0.29213, 9.72775, -0.0300099, -0.50008, 0.00576731
-0.0193634, 0.29213, 9.72775, -0.0299519, -0.5, 0.00576151
-0.0193634, 0.29213, 9.72775, -0.0299519, -0.5, 0.00576151
-0.0384064, 0.275467, 9.64206, -0.0299519, -0.5, 0.00576151
-0.0384064, 0.275467, 9.64206, -0.0299437, -0.499708, 0.00562722
-0.0907745, 0.265945, 9.67776, -0.0299437, -0.499708, 0.00562722
-0.0907745, 0.265945, 9.67776, -0.0298866, -0.499554, 0.00558585
-0.0907745, 0.265945, 9.67776, -0.0298866, -0.499554, 0.00558585
-0.0907745, 0.265945, 9.67776, -0.0298866, -0.499554, 0.00558585
-0.0288849, 0.301651, 9.70157, -0.0298866, -0.499554, 0.00558585
-0.0288849, 0.301651, 9.70157, -0.0298866, -0.499554, 0.00558585
-0.0288849, 0.301651, 9.70157, -0.0297771, -0.499716, 0.00572353
-0.0288849, 0.301651, 9.70157, -0.0297771, -0.499716, 0.00572353
-0.016983, 0.29451, 9.70395, -0.0297771, -0.499716, 0.00572353
-0.016983, 0.29451, 9.70395, -0.0297771, -0.499716, 0.00572353
-0.016983, 0.29451, 9.70395, -0.0297771, -0.499716, 0.00572353
-0.016983, 0.29451, 9.70395, -0.0297998, -0.499554, 0.00563398
-0.0479279, 0.318314, 9.70871, -0.0297998, -0.499554, 0.00563398
-0.0479279, 0.318314, 9.70871, -0.0298278, -0.499296, 0.00549591
-0.0479279, 0.318314, 9.70871, -0.0298278, -0.499296, 0.00549591
-0.0431671, 0.268326, 9.68729, -0.0298278, -0.499296, 0.00549591
-0.0431671, 0.268326, 9.68729, -0.0299362, -0.499343, 0.00545783
-0.0288849, 0.284988, 9.74203, -0.0299362, -0.499343, 0.00545783
-0.0288849, 0.284988, 9.74203, -0.0298817, -0.499147, 0.0053952
-0.00746155, 0.339737, 9.58731, -0.0298817, -0.499147, 0.0053952
