acceleration:x,y,z,Orientation:yaw,pitch,roll
-2.72108, 0.334976, 9.34451, -2.24874, -0.0374914, 0.283192
-2.72108, 0.334976, 9.34451, -2.24874, -0.0374914, 0.283192
-2.72108, 0.334976, 9.34451, -2.24874, -0.0374914, 0.283192
-2.72108, 0.334976, 9.34451, -2.24868, -0.0375177, 0.283184
-2.69014, 0.284988, 9.41592, -2.24868, -0.0375177, 0.283184
-2.69014, 0.284988, 9.41592, -2.24868, -0.0375177, 0.283184
-2.69014, 0.284988, 9.41592, -2.24868, -0.0375177, 0.283184
-2.69014, 0.284988, 9.41592, -2.24841, -0.0376207, 0.283391
-2.66872, 0.334976, 9.2731, -2.24841, -0.0376207, 0.283391
-2.66872, 0.334976, 9.2731, -2.24841, -0.0376207, 0.283391
-2.66872, 0.334976, 9.2731, -2.24841, -0.0376207, 0.283391
-2.66872, 0.334976, 9.2731, -2.24833, -0.037688, 0.283323
-2.72108, 0.344498, 9.33499, -2.24833, -0.037688, 0.283323
-2.72108, 0.344498, 9.33499, -2.24833, -0.037688, 0.283323
-2.72108, 0.344498, 9.33499, -2.24833, -0.037688, 0.283323
-2.72108, 0.344498, 9.33499, -2.24873, -0.0378754, 0.283303
-2.81154, 0.318314, 9.40402, -2.24873, -0.0378754, 0.283303
-2.81154, 0.318314, 9.40402, -2.24873, -0.0378754, 0.283303
-2.81154, 0.318314, 9.40402, -2.24873, -0.0378754, 0.283303
-2.81154, 0.318314, 9.40402, -2.24883, -0.0378566, 0.283291
-2.78297, 0.315933, 9.39688, -2.24883, -0.0378566, 0.283291
-2.78297, 0.315933, 9.39688, -2.24883, -0.0378566, 0.283291
-2.78297, 0.315933, 9.39688, -2.2487, -0.0376289, 0.283299
-2.78297, 0.315933, 9.39688, -2.2487, -0.0376289, 0.283299
-2.73061, 0.411148, 9.34927, -2.2487, -0.0376289, 0.283299
-2.73061, 0.411148, 9.34927, -2.2487, -0.0376289, 0.283299
-2.73061, 0.411148, 9.34927, -2.2487, -0.0376289, 0.283299
-2.73061, 0.411148, 9.34927, -2.24885, -0.0373688, 0.283109
-2.74489, 0.404007, 9.3945, -2.24885, -0.0373688, 0.283109
-2.74489, 0.404007, 9.3945, -2.24885, -0.0373688, 0.283109
-2.74489, 0.404007, 9.3945, -2.24885, -0.0373688, 0.283109
-2.74489, 0.404007, 9.3945, -2.24937, -0.0374594, 0.282869
-2.68538, 0.389725, 9.44449, -2.24937, -0.0374594, 0.282869
-2.68538, 0.389725, 9.44449, -2.24997, -0.037562, 0.282558
-2.68538, 0.389725, 9.44449, -2.24997, -0.037562, 0.282558
-2.68538, 0.389725, 9.44449, -2.24997, -0.037562, 0.282558
