acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
0.208817, -0.919144, 9.62302, -0.510093, -0.0231838, 0.0964006, 0.227182, -0.943011, 9.75188
0.235001, -0.931046, 9.6492, -0.510093, -0.0231838, 0.0964006, 0.227182, -0.943011, 9.75188
0.235001, -0.931046, 9.6492, -0.509862, -0.0231233, 0.0963423, 0.22659, -0.942445, 9.75195
0.204056, -0.942947, 9.61111, -0.509862, -0.0231233, 0.0963423, 0.22659, -0.942445, 9.75195
0.204056, -0.942947, 9.61111, -0.50988, -0.0231406, 0.0963398, 0.226757, -0.942417, 9.75194
0.263565, -0.983414, 9.6611, -0.50988, -0.0231406, 0.0963398, 0.226757, -0.942417, 9.75194
0.263565, -0.983414, 9.6611, -0.509857, -0.0230346, 0.0963903, 0.22572, -0.942914, 9.75192
0.273087, -0.931046, 9.62064, -0.510384, -0.0231423, 0.0965405, 0.226773, -0.944372, 9.75176
0.273087, -0.931046, 9.62064, -0.510384, -0.0231423, 0.0965405, 0.226773, -0.944372, 9.75176
0.273087, -0.931046, 9.62064, -0.510384, -0.0231423, 0.0965405, 0.226773, -0.944372, 9.75176
0.235001, -0.916763, 9.63254, -0.510533, -0.0233, 0.0965112, 0.22832, -0.944086, 9.75175
0.251663, -0.938187, 9.60159, -0.510533, -0.0233, 0.0965112, 0.22832, -0.944086, 9.75175
0.251663, -0.938187, 9.60159, -0.51041, -0.0233223, 0.0964495, 0.228537, -0.943482, 9.7518
0.249283, -0.938187, 9.64206, -0.51041, -0.0233223, 0.0964495, 0.228537, -0.943482, 9.7518
0.249283, -0.938187, 9.64206, -0.51065, -0.0233958, 0.0965041, 0.229258, -0.944015, 9.75173
0.280228, -0.928665, 9.66824, -0.510768, -0.0234472, 0.0965221, 0.22976, -0.944187, 9.7517
0.223099, -0.909622, 9.63254, -0.510768, -0.0234472, 0.0965221, 0.22976, -0.944187, 9.7517
0.223099, -0.909622, 9.63254, -0.510845, -0.0235975, 0.0964679, 0.231234, -0.943656, 9.75172
0.223099, -0.909622, 9.63254, -0.510845, -0.0235975, 0.0964679, 0.231234, -0.943656, 9.75172
0.254044, -0.881058, 9.68253, -0.510486, -0.0235492, 0.0963517, 0.230759, -0.942523, 9.75184
0.204056, -0.921524, 9.71823, -0.510486, -0.0235492, 0.0963517, 0.230759, -0.942523, 9.75184
0.204056, -0.921524, 9.71823, -0.51002, -0.0236173, 0.0961265, 0.231426, -0.940325, 9.75204
0.261185, -0.916763, 9.65396, -0.51002, -0.0236173, 0.0961265, 0.231426, -0.940325, 9.75204
0.261185, -0.916763, 9.65396, -0.509669, -0.0234957, 0.0960548, 0.230236, -0.939629, 9.75213
0.23024, -0.919144, 9.64444, -0.50961, -0.0235491, 0.0960008, 0.230761, -0.939105, 9.75217
0.23024, -0.919144, 9.64444, -0.50961, -0.0235491, 0.0960008, 0.230761, -0.939105, 9.75217
0.256424, -0.95723, 9.63016, -0.509449, -0.0235079, 0.09596, 0.230356, -0.938706, 9.75222
0.256424, -0.95723, 9.63016, -0.509449, -0.0235079, 0.09596, 0.230356, -0.938706, 9.75222
0.218338, -0.935806, 9.6611, -0.509842, -0.0235985, 0.0960659, 0.231244, -0.939737, 9.7521
0.218338, -0.935806, 9.6611, -0.509842, -0.0235985, 0.0960659, 0.231244, -0.939737, 9.7521
0.227859, -0.935806, 9.64682, -0.509876, -0.0235552, 0.0961042, 0.230818, -0.940109, 9.75207
0.239761, -0.976273, 9.62778, -0.509876, -0.0235552, 0.0961042, 0.230818, -0.940109, 9.75207
0.239761, -0.976273, 9.62778, -0.509981, -0.0235371, 0.096156, 0.230643, -0.940618, 9.75203
0.254044, -0.912003, 9.61111, -0.509981, -0.0235371, 0.096156, 0.230643, -0.940618, 9.75203
0.254044, -0.912003, 9.61111, -0.510462, -0.0235467, 0.0963432, 0.230737, -0.942445, 9.75185
0.208817, -0.923904, 9.64206, -0.51035, -0.023601, 0.0962679, 0.231268, -0.941706, 9.75191
0.208817, -0.923904, 9.64206, -0.51035, -0.023601, 0.0962679, 0.231268, -0.941706, 9.75191
0.268326, -0.907242, 9.62064, -0.510061, -0.023512, 0.0962025, 0.230396, -0.94107, 9.75199
0.268326, -0.935806, 9.61826, -0.510061, -0.023512, 0.0962025, 0.230396, -0.94107, 9.75199
0.268326, -0.935806, 9.61826, -0.510048, -0.0236428, 0.0961233, 0.231677, -0.940295, 9.75203
0.23024, -0.945328, 9.68967, -0.510048, -0.0236428, 0.0961233, 0.231677, -0.940295, 9.75203
0.23024, -0.945328, 9.68967, -0.510305, -0.0237693, 0.0961547, 0.232919, -0.940601, 9.75197
0.242142, -0.862015, 9.59683, -0.510372, -0.0237483, 0.0961934, 0.232713, -0.940979, 9.75194
0.242142, -0.862015, 9.59683, -0.510372, -0.0237483, 0.0961934, 0.232713, -0.940979, 9.75194
0.225479, -0.907242, 9.67538, -0.509882, -0.0237855, 0.0959764, 0.233077, -0.938861, 9.75214
0.225479, -0.907242, 9.67538, -0.509882, -0.0237855, 0.0959764, 0.233077, -0.938861, 9.75214
0.268326, -0.933426, 9.6373, -0.509611, -0.0237564, 0.0958844, 0.232792, -0.937965, 9.75223
0.220718, -0.914383, 9.57779, -0.509611, -0.0237564, 0.0958844, 0.232792, -0.937965, 9.75223
0.220718, -0.914383, 9.57779, -0.509789, -0.0238716, 0.0958906, 0.233919, -0.93802, 9.7522
0.235001, -0.973892, 9.64206, -0.509789, -0.0238716, 0.0958906, 0.233919, -0.93802, 9.7522
0.235001, -0.973892, 9.64206, -0.509593, -0.0238322, 0.0958344, 0.233534, -0.937476, 9.75226
0.254044, -0.928665, 9.67538, -0.509593, -0.0238322, 0.0958344, 0.233534, -0.937476, 9.75226
0.254044, -0.928665, 9.67538, -0.509957, -0.0238374, 0.0959771, 0.233586, -0.938867, 9.75213
0.284988, -0.926285, 9.69681, -0.509967, -0.0238886, 0.0959519, 0.234087, -0.938621, 9.75214
0.284988, -0.926285, 9.69681, -0.509967, -0.0238886, 0.0959519, 0.234087, -0.938621, 9.75214
0.239761, -0.95961, 9.56113, -0.509967, -0.0238886, 0.0959519, 0.234087, -0.938621, 9.75214
0.239761, -0.95961, 9.56113, -0.510042, -0.0240216, 0.0959068, 0.235389, -0.938174, 9.75215
0.227859, -0.873917, 9.6492, -0.510421, -0.024045, 0.096045, 0.235619, -0.939524, 9.75201
0.227859, -0.873917, 9.6492, -0.510421, -0.024045, 0.096045, 0.235619, -0.939524, 9.75201
0.23262, -0.921524, 9.71347, -0.510421, -0.024045, 0.096045, 0.235619, -0.939524, 9.75201
0.249283, -0.89772, 9.61588, -0.509898, -0.0240293, 0.0958449, 0.235465, -0.937572, 9.7522
0.249283, -0.89772, 9.61588, -0.509733, -0.0239993, 0.0957961, 0.23517, -0.937095, 9.75226
0.249283, -0.89772, 9.61588, -0.509733, -0.0239993, 0.0957961, 0.23517, -0.937095, 9.75226
0.189774, -0.883438, 9.66586, -0.509486, -0.0240017, 0.095696, 0.235193, -0.936119, 9.75235
0.235001, -0.950089, 9.63016, -0.508847, -0.0238298, 0.0955375, 0.233511, -0.93458, 9.75254
0.235001, -0.950089, 9.63016, -0.508847, -0.0238298, 0.0955375, 0.233511, -0.93458, 9.75254
