acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
0.275467, -1.01198, 9.55399, -0.478793, -0.0255758, 0.109244, 0.250616, -1.06811, 9.73839
0.275467, -1.01198, 9.55399, -0.479496, -0.0255321, 0.109336, 0.250188, -1.06901, 9.73831
0.275467, -1.01198, 9.55399, -0.479496, -0.0255321, 0.109336, 0.250188, -1.06901, 9.73831
0.258804, -1.00722, 9.56589, -0.479256, -0.0257406, 0.109137, 0.252229, -1.06707, 9.73847
0.258804, -1.00722, 9.56589, -0.479256, -0.0257406, 0.109137, 0.252229, -1.06707, 9.73847
0.23024, -1.19289, 9.62064, -0.478318, -0.0258492, 0.108808, 0.253295, -1.06386, 9.73879
0.313553, -1.13576, 9.68253, -0.478318, -0.0258492, 0.108808, 0.253295, -1.06386, 9.73879
0.313553, -1.13576, 9.68253, -0.478705, -0.0258136, 0.109075, 0.252944, -1.06646, 9.73852
0.313553, -1.13576, 9.68253, -0.478705, -0.0258136, 0.109075, 0.252944, -1.06646, 9.73852
0.213577, -1.12624, 9.78726, -0.479511, -0.0259215, 0.109077, 0.254004, -1.06648, 9.73849
0.213577, -1.12624, 9.78726, -0.479511, -0.0259215, 0.109077, 0.254004, -1.06648, 9.73849
0.387344, -1.36189, 9.06125, -0.479511, -0.0259215, 0.109077, 0.254004, -1.06648, 9.73849
1.36092, -2.88771, 10.2038, -0.480123, -0.0255263, 0.108991, 0.250131, -1.06565, 9.73868
1.36092, -2.88771, 10.2038, -0.483597, -0.0243703, 0.107497, 0.238805, -1.05113, 9.74054
1.36092, -2.88771, 10.2038, -0.483597, -0.0243703, 0.107497, 0.238805, -1.05113, 9.74054
-2.46196, -2.31404, 12.9579, -0.50139, -0.0250041, 0.116744, 0.245015, -1.14114, 9.73025
0.0802765, 1.99681, 9.33499, -0.505425, -0.0212575, 0.136177, 0.208307, -1.33011, 9.70708
0.0802765, 1.99681, 9.33499, -0.505425, -0.0212575, 0.136177, 0.208307, -1.33011, 9.70708
0.0802765, 1.99681, 9.33499, -0.505425, -0.0212575, 0.136177, 0.208307, -1.33011, 9.70708
0.61824, -0.374039, 17.0188, -0.513164, -0.0180793, 0.16899, 0.177167, -1.64796, 9.65882
3.93886, -2.73061, 10.449, -0.513164, -0.0180793, 0.16899, 0.177167, -1.64796, 9.65882
3.93886, -2.73061, 10.449, -0.515363, -0.0135495, 0.229545, 0.132782, -2.22963, 9.54207
4.02455, -4.34212, 8.78989, -0.512664, -0.0093226, 0.308032, 0.091361, -2.97107, 9.33833
4.02455, -4.34212, 8.78989, -0.512664, -0.0093226, 0.308032, 0.091361, -2.97107, 9.33833
-1.02422, -0.402603, 5.2955, -0.516156, -0.0117293, 0.35504, 0.114945, -3.40652, 9.18817
-1.02422, -0.402603, 5.2955, -0.516156, -0.0117293, 0.35504, 0.114945, -3.40652, 9.18817
-0.624313, 0.635239, 4.97891, -0.516156, -0.0117293, 0.35504, 0.114945, -3.40652, 9.18817
-0.624313, 0.635239, 4.97891, -0.51526, -0.0262505, 0.360257, 0.257224, -3.45345, 9.16774
-0.624313, 0.635239, 4.97891, -0.51526, -0.0262505, 0.360257, 0.257224, -3.45345, 9.16774
0.518265, -6.83913, 5.75253, -0.51526, -0.0262505, 0.360257, 0.257224, -3.45345, 9.16774
0.518265, -6.83913, 5.75253, -0.501338, -0.0317528, 0.357773, 0.311124, -3.43012, 9.17483
-1.04326, -7.08192, 12.0391, -0.501338, -0.0317528, 0.357773, 0.311124, -3.43012, 9.17483
-0.200607, -5.19191, 15.7977, -0.502752, -0.01827, 0.361687, 0.179036, -3.46717, 9.16442
-0.200607, -5.19191, 15.7977, -0.511845, -0.000582807, 0.377555, 0.00571202, -3.61276, 9.10977
-1.51219, -6.30354, 16.1214, -0.51442, 0.00610427, 0.41507, -0.0598226, -3.95182, 8.9677
-1.51219, -6.30354, 16.1214, -0.51442, 0.00610427, 0.41507, -0.0598226, -3.95182, 8.9677
