acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
0.492081, 0.0687103, -9.81509, 2.90775, -0.0281917, -3.11618, 0.276244, 0.248963, -9.79294
0.451614, 0.104416, -9.89603, 2.90775, -0.0281917, -3.11618, 0.276244, 0.248963, -9.79294
0.451614, 0.104416, -9.89603, 2.90749, -0.025887, -3.11795, 0.253662, 0.231576, -9.79398
0.48494, 0.187729, -10.015, 2.9069, -0.0246283, -3.11893, 0.241332, 0.222039, -9.79451
0.427811, 0.171066, -10.0174, 2.9069, -0.0246283, -3.11893, 0.241332, 0.222039, -9.79451
0.427811, 0.171066, -10.0174, 2.90769, -0.0239101, -3.11874, 0.234296, 0.223845, -9.79464
0.406387, 0.182968, -10.015, 2.90881, -0.0226764, -3.11845, 0.222207, 0.226765, -9.79486
0.325455, 0.0782318, -10.0222, 2.90881, -0.0226764, -3.11845, 0.222207, 0.226765, -9.79486
0.325455, 0.0782318, -10.0222, 2.90966, -0.0205966, -3.11865, 0.20183, 0.224772, -9.79534
0.315933, 0.0401459, -9.91983, 2.90966, -0.0205966, -3.11865, 0.20183, 0.224772, -9.79534
0.315933, 0.0401459, -9.91983, 2.91129, -0.0179154, -3.11979, 0.175563, 0.213609, -9.7961
0.180252, -0.00984192, -9.92935, 2.91274, -0.0152031, -3.12099, 0.148983, 0.201857, -9.79679
0.132645, 0.106796, -10.0174, 2.91274, -0.0152031, -3.12099, 0.148983, 0.201857, -9.79679
0.194534, -0.0288849, -10.0484, 2.91245, -0.0119552, -3.12193, 0.117157, 0.192719, -9.7974
0.194534, -0.0288849, -10.0484, 2.91098, -0.0085189, -3.12191, 0.0834828, 0.192846, -9.79775
0.118362, -0.00270081, -10.0008, 2.90839, -0.00567875, -3.12217, 0.0556522, 0.190296, -9.79799
0.180252, 0.137741, -9.88651, 2.90815, -0.00317008, -3.12264, 0.031066, 0.185729, -9.79819
0.0945587, 0.154404, -9.73892, 2.90815, -0.00317008, -3.12264, 0.031066, 0.185729, -9.79819
0.0945587, 0.154404, -9.73892, 2.90821, -0.00138661, -3.12259, 0.0135882, 0.186237, -9.79822
0.0350494, 0.12822, -9.73654, 2.9083, -8.32891e-005, -3.1222, 0.00081668, 0.19, -9.79816
0.0874176, 0.092514, -9.79843, 2.90835, 0.00134904, -3.12192, -0.0132205, 0.192781, -9.79809
0.125504, 0.159164, -9.88412, 2.90835, 0.00134904, -3.12192, -0.0132205, 0.192781, -9.79809
0.106461, 0.0782318, -9.75558, 2.90905, 0.00328215, -3.12233, -0.0321644, 0.188747, -9.79813
0.106461, 0.0782318, -9.75558, 2.90905, 0.00328215, -3.12233, -0.0321644, 0.188747, -9.79813
0.106461, 0.0877533, -9.66275, 2.9099, 0.00453227, -3.12353, -0.0444161, 0.177003, -9.7983
0.0207672, 0.290085, -9.76749, 2.9099, 0.00453227, -3.12353, -0.0444161, 0.177003, -9.7983
-0.0411224, 0.137741, -9.69131, 2.91267, 0.00532263, -3.12447, -0.0521617, 0.167756, -9.79843
0.0326691, 0.0901337, -9.67227, 2.91267, 0.00532263, -3.12447, -0.0521617, 0.167756, -9.79843
0.0326691, 0.0901337, -9.67227, 2.91322, 0.00621635, -3.12466, -0.0609193, 0.165959, -9.79841
-0.0792084, 0.175827, -9.61276, 2.91382, 0.00746897, -3.12514, -0.0731953, 0.161248, -9.7984
-0.179184, 0.230576, -9.51517, 2.91382, 0.00746897, -3.12514, -0.0731953, 0.161248, -9.7984
-0.179184, 0.230576, -9.51517, 2.91382, 0.00746897, -3.12514, -0.0731953, 0.161248, -9.7984
-0.179184, 0.230576, -9.51517, 2.91382, 0.00746897, -3.12514, -0.0731953, 0.161248, -9.7984
