pack:0 ax, -0.0622101 ay, 0.277847 az, 9.79202
GoogleYaw, -0.895723 GooglePitch, -0.026918 GoogleRoll, 0.0032111
pack:0 ax, -0.0622101 ay, 0.277847 az, 9.79202
GoogleYaw, -0.895661 GooglePitch, -0.0267943 GoogleRoll, 0.00331328
pack:0 ax, -0.0288849 ay, 0.242142 az, 9.74442
GoogleYaw, -0.895661 GooglePitch, -0.0267943 GoogleRoll, 0.00331328
pack:0 ax, -0.0288849 ay, 0.242142 az, 9.74442
GoogleYaw, -0.895808 GooglePitch, -0.0268113 GoogleRoll, 0.00342345
pack:0 ax, -0.0288849 ay, 0.242142 az, 9.74442
GoogleYaw, -0.895808 GooglePitch, -0.0268113 GoogleRoll, 0.00342345
pack:0 ax, -0.0312653 ay, 0.249283 az, 9.75156
GoogleYaw, -0.895808 GooglePitch, -0.0268113 GoogleRoll, 0.00342345
pack:0 ax, -0.0312653 ay, 0.249283 az, 9.75156
GoogleYaw, -0.895808 GooglePitch, -0.0268113 GoogleRoll, 0.00342345
pack:0 ax, -0.0312653 ay, 0.249283 az, 9.75156
GoogleYaw, -0.895808 GooglePitch, -0.0268113 GoogleRoll, 0.00342345
pack:0 ax, -0.0312653 ay, 0.249283 az, 9.75156
GoogleYaw, -0.895642 GooglePitch, -0.0267 GoogleRoll, 0.00341672
pack:0 ax, -0.0479279 ay, 0.246902 az, 9.72537
GoogleYaw, -0.895642 GooglePitch, -0.0267 GoogleRoll, 0.00341672
pack:0 ax, -0.0479279 ay, 0.246902 az, 9.72537
GoogleYaw, -0.895489 GooglePitch, -0.0266162 GoogleRoll, 0.00338688
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.76584
GoogleYaw, -0.895489 GooglePitch, -0.0266162 GoogleRoll, 0.00338688
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.76584
GoogleYaw, -0.895489 GooglePitch, -0.0266162 GoogleRoll, 0.00338688
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.76584
GoogleYaw, -0.895418 GooglePitch, -0.0265603 GoogleRoll, 0.00339454
pack:0 ax, -0.0193634 ay, 0.215958 az, 9.78488
GoogleYaw, -0.895418 GooglePitch, -0.0265603 GoogleRoll, 0.00339454
pack:0 ax, -0.0193634 ay, 0.215958 az, 9.78488
GoogleYaw, -0.895418 GooglePitch, -0.0265603 GoogleRoll, 0.00339454
pack:0 ax, -0.0193634 ay, 0.215958 az, 9.78488
GoogleYaw, -0.895423 GooglePitch, -0.0265779 GoogleRoll, 0.00337704
pack:0 ax, -0.055069 ay, 0.273087 az, 9.7944
GoogleYaw, -0.895423 GooglePitch, -0.0265779 GoogleRoll, 0.00337704
pack:0 ax, -0.055069 ay, 0.273087 az, 9.7944
GoogleYaw, -0.895423 GooglePitch, -0.0265779 GoogleRoll, 0.00337704
pack:0 ax, -0.055069 ay, 0.273087 az, 9.7944
GoogleYaw, -0.895147 GooglePitch, -0.0264225 GoogleRoll, 0.00332805
pack:0 ax, -0.0598297 ay, 0.244522 az, 9.8063
GoogleYaw, -0.895331 GooglePitch, -0.0264767 GoogleRoll, 0.00342338
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.77774
GoogleYaw, -0.895331 GooglePitch, -0.0264767 GoogleRoll, 0.00342338
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.77774
GoogleYaw, -0.895387 GooglePitch, -0.0264309 GoogleRoll, 0.00353288
pack:0 ax, -0.0836334 ay, 0.258804 az, 9.73727
GoogleYaw, -0.895387 GooglePitch, -0.0264309 GoogleRoll, 0.00353288
pack:0 ax, -0.0836334 ay, 0.258804 az, 9.73727
GoogleYaw, -0.895398 GooglePitch, -0.0264619 GoogleRoll, 0.00350314
pack:0 ax, -0.100296 ay, 0.237381 az, 9.76346
GoogleYaw, -0.895398 GooglePitch, -0.0264619 GoogleRoll, 0.00350314
pack:0 ax, -0.100296 ay, 0.237381 az, 9.76346
GoogleYaw, -0.895574 GooglePitch, -0.0264713 GoogleRoll, 0.00364869
pack:0 ax, -0.00984192 ay, 0.256424 az, 9.79678
GoogleYaw, -0.895574 GooglePitch, -0.0264713 GoogleRoll, 0.00364869
pack:0 ax, -0.00984192 ay, 0.256424 az, 9.79678
GoogleYaw, -0.895737 GooglePitch, -0.0264153 GoogleRoll, 0.00386685
pack:0 ax, -0.0312653 ay, 0.246902 az, 9.79916
GoogleYaw, -0.895737 GooglePitch, -0.0264153 GoogleRoll, 0.00386685
pack:0 ax, -0.0312653 ay, 0.246902 az, 9.79916
GoogleYaw, -0.895645 GooglePitch, -0.026412 GoogleRoll, 0.00378796
pack:0 ax, -0.0598297 ay, 0.261185 az, 9.7825
GoogleYaw, -0.895592 GooglePitch, -0.0263661 GoogleRoll, 0.00379936
pack:0 ax, -0.0788727 ay, 0.268326 az, 9.76108
GoogleYaw, -0.895667 GooglePitch, -0.0263516 GoogleRoll, 0.003885
pack:0 ax, -0.0764923 ay, 0.23024 az, 9.71109
GoogleYaw, -0.895667 GooglePitch, -0.0263516 GoogleRoll, 0.003885
pack:0 ax, -0.0764923 ay, 0.23024 az, 9.71109
GoogleYaw, -0.895741 GooglePitch, -0.0263125 GoogleRoll, 0.00400186
pack:0 ax, -0.0598297 ay, 0.282608 az, 9.73727
GoogleYaw, -0.895651 GooglePitch, -0.0261589 GoogleRoll, 0.00411727
pack:0 ax, -0.0598297 ay, 0.282608 az, 9.73727
GoogleYaw, -0.895651 GooglePitch, -0.0261589 GoogleRoll, 0.00411727
pack:0 ax, -0.0217438 ay, 0.23262 az, 9.6611
GoogleYaw, -0.895651 GooglePitch, -0.0261589 GoogleRoll, 0.00411727
pack:0 ax, -0.0217438 ay, 0.23262 az, 9.6611
GoogleYaw, -0.895651 GooglePitch, -0.0261589 GoogleRoll, 0.00411727
pack:0 ax, -0.0217438 ay, 0.23262 az, 9.6611
GoogleYaw, -0.89584 GooglePitch, -0.0262405 GoogleRoll, 0.0041826
pack:0 ax, -0.0217438 ay, 0.23262 az, 9.6611
GoogleYaw, -0.89584 GooglePitch, -0.0262405 GoogleRoll, 0.0041826
pack:0 ax, -0.0193634 ay, 0.287369 az, 9.7944
GoogleYaw, -0.89584 GooglePitch, -0.0262405 GoogleRoll, 0.0041826
pack:0 ax, -0.0193634 ay, 0.287369 az, 9.7944
GoogleYaw, -0.89584 GooglePitch, -0.0262405 GoogleRoll, 0.0041826
pack:0 ax, -0.0193634 ay, 0.287369 az, 9.7944
GoogleYaw, -0.89584 GooglePitch, -0.0262405 GoogleRoll, 0.0041826
pack:0 ax, -0.0193634 ay, 0.287369 az, 9.7944
GoogleYaw, -0.895643 GooglePitch, -0.0261541 GoogleRoll, 0.0041166
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.78012
GoogleYaw, -0.895643 GooglePitch, -0.0261541 GoogleRoll, 0.0041166
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.78012
GoogleYaw, -0.895643 GooglePitch, -0.0261541 GoogleRoll, 0.0041166
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.78012
GoogleYaw, -0.895706 GooglePitch, -0.0262557 GoogleRoll, 0.00404278
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.78012
GoogleYaw, -0.895706 GooglePitch, -0.0262557 GoogleRoll, 0.00404278
pack:0 ax, -0.055069 ay, 0.265945 az, 9.78726
GoogleYaw, -0.895706 GooglePitch, -0.0262557 GoogleRoll, 0.00404278
pack:0 ax, -0.055069 ay, 0.265945 az, 9.78726
GoogleYaw, -0.895724 GooglePitch, -0.0263063 GoogleRoll, 0.00399439
pack:0 ax, -0.0336456 ay, 0.287369 az, 9.7468
GoogleYaw, -0.89578 GooglePitch, -0.02632 GoogleRoll, 0.0040269
pack:0 ax, -0.0669708 ay, 0.239761 az, 9.7468
GoogleYaw, -0.89578 GooglePitch, -0.02632 GoogleRoll, 0.0040269
pack:0 ax, -0.0669708 ay, 0.239761 az, 9.7468
GoogleYaw, -0.89578 GooglePitch, -0.02632 GoogleRoll, 0.0040269
pack:0 ax, -0.0669708 ay, 0.239761 az, 9.7468
GoogleYaw, -0.89578 GooglePitch, -0.02632 GoogleRoll, 0.0040269
pack:0 ax, -0.0669708 ay, 0.239761 az, 9.7468
GoogleYaw, -0.895887 GooglePitch, -0.0264202 GoogleRoll, 0.00399532
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.76346
GoogleYaw, -0.895887 GooglePitch, -0.0264202 GoogleRoll, 0.00399532
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.76346
