pack:0 ax, -8.43398 ay, 3.61751 az, -1.05295
GoogleYaw, -0.562347 GooglePitch, -0.366463 GoogleRoll, 1.63117
pack:0 ax, -8.85768 ay, 3.56276 az, -0.591156
GoogleYaw, -0.562347 GooglePitch, -0.366463 GoogleRoll, 1.63117
pack:0 ax, -8.85768 ay, 3.56276 az, -0.591156
GoogleYaw, -0.562347 GooglePitch, -0.366463 GoogleRoll, 1.63117
pack:0 ax, -8.85768 ay, 3.56276 az, -0.591156
GoogleYaw, -0.562347 GooglePitch, -0.366463 GoogleRoll, 1.63117
pack:0 ax, -8.85768 ay, 3.56276 az, -0.591156
GoogleYaw, -0.560646 GooglePitch, -0.365287 GoogleRoll, 1.63271
pack:0 ax, -9.02431 ay, 3.57942 az, -0.61734
GoogleYaw, -0.560646 GooglePitch, -0.365287 GoogleRoll, 1.63271
pack:0 ax, -9.02431 ay, 3.57942 az, -0.61734
GoogleYaw, -0.560646 GooglePitch, -0.365287 GoogleRoll, 1.63271
pack:0 ax, -9.02431 ay, 3.57942 az, -0.61734
GoogleYaw, -0.559123 GooglePitch, -0.362446 GoogleRoll, 1.63462
pack:0 ax, -9.02431 ay, 3.57942 az, -0.61734
GoogleYaw, -0.559123 GooglePitch, -0.362446 GoogleRoll, 1.63462
pack:0 ax, -9.31233 ay, 3.45088 az, -0.969635
GoogleYaw, -0.559123 GooglePitch, -0.362446 GoogleRoll, 1.63462
pack:0 ax, -9.31233 ay, 3.45088 az, -0.969635
GoogleYaw, -0.559123 GooglePitch, -0.362446 GoogleRoll, 1.63462
pack:0 ax, -9.31233 ay, 3.45088 az, -0.969635
GoogleYaw, -0.559123 GooglePitch, -0.362446 GoogleRoll, 1.63462
pack:0 ax, -9.31233 ay, 3.45088 az, -0.969635
GoogleYaw, -0.557469 GooglePitch, -0.358342 GoogleRoll, 1.64013
pack:0 ax, -9.39326 ay, 3.28664 az, -1.37192
GoogleYaw, -0.557469 GooglePitch, -0.358342 GoogleRoll, 1.64013
pack:0 ax, -9.39326 ay, 3.28664 az, -1.37192
GoogleYaw, -0.556392 GooglePitch, -0.353987 GoogleRoll, 1.64625
pack:0 ax, -9.39326 ay, 3.28664 az, -1.37192
GoogleYaw, -0.556392 GooglePitch, -0.353987 GoogleRoll, 1.64625
pack:0 ax, -9.39326 ay, 3.28664 az, -1.37192
GoogleYaw, -0.556392 GooglePitch, -0.353987 GoogleRoll, 1.64625
pack:0 ax, -9.50276 ay, 3.41994 az, -1.04343
GoogleYaw, -0.556392 GooglePitch, -0.353987 GoogleRoll, 1.64625
pack:0 ax, -9.50276 ay, 3.41994 az, -1.04343
GoogleYaw, -0.556392 GooglePitch, -0.353987 GoogleRoll, 1.64625
pack:0 ax, -9.50276 ay, 3.41994 az, -1.04343
GoogleYaw, -0.557328 GooglePitch, -0.350193 GoogleRoll, 1.64884
pack:0 ax, -9.50276 ay, 3.41994 az, -1.04343
GoogleYaw, -0.557328 GooglePitch, -0.350193 GoogleRoll, 1.64884
pack:0 ax, -9.73128 ay, 3.4247 az, -0.417389
GoogleYaw, -0.557328 GooglePitch, -0.350193 GoogleRoll, 1.64884
pack:0 ax, -9.73128 ay, 3.4247 az, -0.417389
GoogleYaw, -0.557328 GooglePitch, -0.350193 GoogleRoll, 1.64884
pack:0 ax, -9.73128 ay, 3.4247 az, -0.417389
GoogleYaw, -0.557328 GooglePitch, -0.350193 GoogleRoll, 1.64884
pack:0 ax, -9.73128 ay, 3.4247 az, -0.417389
GoogleYaw, -0.559785 GooglePitch, -0.346699 GoogleRoll, 1.64826
pack:0 ax, -9.84315 ay, 3.28902 az, -0.672089
GoogleYaw, -0.559785 GooglePitch, -0.346699 GoogleRoll, 1.64826
pack:0 ax, -9.84315 ay, 3.28902 az, -0.672089
GoogleYaw, -0.561652 GooglePitch, -0.343165 GoogleRoll, 1.64817
pack:0 ax, -9.84315 ay, 3.28902 az, -0.672089
GoogleYaw, -0.561652 GooglePitch, -0.343165 GoogleRoll, 1.64817
pack:0 ax, -9.84315 ay, 3.28902 az, -0.672089
GoogleYaw, -0.561652 GooglePitch, -0.343165 GoogleRoll, 1.64817
pack:0 ax, -9.86696 ay, 3.20332 az, -0.686371
GoogleYaw, -0.561652 GooglePitch, -0.343165 GoogleRoll, 1.64817
pack:0 ax, -9.86696 ay, 3.20332 az, -0.686371
GoogleYaw, -0.561652 GooglePitch, -0.343165 GoogleRoll, 1.64817
pack:0 ax, -9.86696 ay, 3.20332 az, -0.686371
GoogleYaw, -0.561652 GooglePitch, -0.343165 GoogleRoll, 1.64817
pack:0 ax, -9.86696 ay, 3.20332 az, -0.686371
GoogleYaw, -0.563209 GooglePitch, -0.340097 GoogleRoll, 1.64916
pack:0 ax, -9.65273 ay, 3.22237 az, -0.474518
GoogleYaw, -0.563209 GooglePitch, -0.340097 GoogleRoll, 1.64916
pack:0 ax, -9.65273 ay, 3.22237 az, -0.474518
GoogleYaw, -0.564562 GooglePitch, -0.337782 GoogleRoll, 1.65013
pack:0 ax, -9.65273 ay, 3.22237 az, -0.474518
GoogleYaw, -0.564562 GooglePitch, -0.337782 GoogleRoll, 1.65013
pack:0 ax, -9.65273 ay, 3.22237 az, -0.474518
GoogleYaw, -0.564562 GooglePitch, -0.337782 GoogleRoll, 1.65013
pack:0 ax, -9.68605 ay, 3.30092 az, -0.629242
GoogleYaw, -0.564562 GooglePitch, -0.337782 GoogleRoll, 1.65013
pack:0 ax, -9.68605 ay, 3.30092 az, -0.629242
