pack:0 ax, -0.036026 ay, 0.265945 az, 9.68015
GoogleYaw, -0.894279 GooglePitch, -0.0262607 GoogleRoll, 0.00275764
pack:0 ax, -0.036026 ay, 0.265945 az, 9.68015
GoogleYaw, -0.894279 GooglePitch, -0.0262607 GoogleRoll, 0.00275764
pack:0 ax, -0.036026 ay, 0.265945 az, 9.68015
GoogleYaw, -0.894279 GooglePitch, -0.0262607 GoogleRoll, 0.00275764
pack:0 ax, -0.036026 ay, 0.265945 az, 9.68015
GoogleYaw, -0.894367 GooglePitch, -0.0262961 GoogleRoll, 0.00279077
pack:0 ax, -0.0431671 ay, 0.277847 az, 9.71347
GoogleYaw, -0.894367 GooglePitch, -0.0262961 GoogleRoll, 0.00279077
pack:0 ax, -0.0431671 ay, 0.277847 az, 9.71347
GoogleYaw, -0.894367 GooglePitch, -0.0262961 GoogleRoll, 0.00279077
pack:0 ax, -0.0431671 ay, 0.277847 az, 9.71347
GoogleYaw, -0.894367 GooglePitch, -0.0262961 GoogleRoll, 0.00279077
pack:0 ax, -0.0431671 ay, 0.277847 az, 9.71347
GoogleYaw, -0.894428 GooglePitch, -0.0263404 GoogleRoll, 0.00278873
pack:0 ax, -0.055069 ay, 0.282608 az, 9.76108
GoogleYaw, -0.894428 GooglePitch, -0.0263404 GoogleRoll, 0.00278873
pack:0 ax, -0.055069 ay, 0.282608 az, 9.76108
GoogleYaw, -0.894549 GooglePitch, -0.0264003 GoogleRoll, 0.00282112
pack:0 ax, -0.0741119 ay, 0.258804 az, 9.80392
GoogleYaw, -0.894714 GooglePitch, -0.0264596 GoogleRoll, 0.00289269
pack:0 ax, -0.0503082 ay, 0.263565 az, 9.73965
GoogleYaw, -0.894714 GooglePitch, -0.0264596 GoogleRoll, 0.00289269
pack:0 ax, -0.0503082 ay, 0.263565 az, 9.73965
GoogleYaw, -0.894854 GooglePitch, -0.0264527 GoogleRoll, 0.00302664
pack:0 ax, -0.0503082 ay, 0.263565 az, 9.73965
GoogleYaw, -0.894854 GooglePitch, -0.0264527 GoogleRoll, 0.00302664
pack:0 ax, -0.0503082 ay, 0.263565 az, 9.73965
GoogleYaw, -0.894854 GooglePitch, -0.0264527 GoogleRoll, 0.00302664
pack:0 ax, -0.0479279 ay, 0.270706 az, 9.74203
GoogleYaw, -0.894854 GooglePitch, -0.0264527 GoogleRoll, 0.00302664
pack:0 ax, -0.0479279 ay, 0.270706 az, 9.74203
