pack:0 ax, -0.055069 ay, 0.258804 az, 9.77298
GoogleYaw, -0.895393 GooglePitch, -0.0266143 GoogleRoll, 0.00330337
pack:0 ax, -0.055069 ay, 0.258804 az, 9.77298
GoogleYaw, -0.895393 GooglePitch, -0.0266143 GoogleRoll, 0.00330337
pack:0 ax, -0.055069 ay, 0.258804 az, 9.77298
GoogleYaw, -0.895396 GooglePitch, -0.026674 GoogleRoll, 0.00322958
pack:0 ax, -0.055069 ay, 0.258804 az, 9.77298
GoogleYaw, -0.895396 GooglePitch, -0.026674 GoogleRoll, 0.00322958
pack:0 ax, -0.00270081 ay, 0.239761 az, 9.72775
GoogleYaw, -0.895396 GooglePitch, -0.026674 GoogleRoll, 0.00322958
pack:0 ax, -0.00270081 ay, 0.239761 az, 9.72775
GoogleYaw, -0.895396 GooglePitch, -0.026674 GoogleRoll, 0.00322958
pack:0 ax, -0.00270081 ay, 0.239761 az, 9.72775
GoogleYaw, -0.895396 GooglePitch, -0.026674 GoogleRoll, 0.00322958
pack:0 ax, -0.00270081 ay, 0.239761 az, 9.72775
GoogleYaw, -0.895464 GooglePitch, -0.0266671 GoogleRoll, 0.00330006
pack:0 ax, -0.00984192 ay, 0.289749 az, 9.74203
GoogleYaw, -0.895243 GooglePitch, -0.0265891 GoogleRoll, 0.00320074
pack:0 ax, -0.0336456 ay, 0.280228 az, 9.69681
GoogleYaw, -0.895243 GooglePitch, -0.0265891 GoogleRoll, 0.00320074
pack:0 ax, -0.0336456 ay, 0.280228 az, 9.69681
GoogleYaw, -0.895243 GooglePitch, -0.0265891 GoogleRoll, 0.00320074
pack:0 ax, -0.0336456 ay, 0.280228 az, 9.69681
GoogleYaw, -0.895311 GooglePitch, -0.0266934 GoogleRoll, 0.00312894
pack:0 ax, -0.016983 ay, 0.261185 az, 9.74203
GoogleYaw, -0.895311 GooglePitch, -0.0266934 GoogleRoll, 0.00312894
pack:0 ax, -0.016983 ay, 0.261185 az, 9.74203
GoogleYaw, -0.895311 GooglePitch, -0.0266934 GoogleRoll, 0.00312894
pack:0 ax, -0.016983 ay, 0.261185 az, 9.74203
GoogleYaw, -0.895311 GooglePitch, -0.0266934 GoogleRoll, 0.00312894
pack:0 ax, -0.016983 ay, 0.261185 az, 9.74203
GoogleYaw, -0.895402 GooglePitch, -0.0267555 GoogleRoll, 0.00313046
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.70871
GoogleYaw, -0.895402 GooglePitch, -0.0267555 GoogleRoll, 0.00313046
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.70871
GoogleYaw, -0.895402 GooglePitch, -0.0267555 GoogleRoll, 0.00313046
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.70871
GoogleYaw, -0.895326 GooglePitch, -0.0267466 GoogleRoll, 0.00307428
pack:0 ax, -0.0265045 ay, 0.275467 az, 9.70871
GoogleYaw, -0.895326 GooglePitch, -0.0267466 GoogleRoll, 0.00307428
pack:0 ax, -0.0265045 ay, 0.23262 az, 9.69919
GoogleYaw, -0.895326 GooglePitch, -0.0267466 GoogleRoll, 0.00307428
pack:0 ax, -0.0265045 ay, 0.23262 az, 9.69919
GoogleYaw, -0.895326 GooglePitch, -0.0267466 GoogleRoll, 0.00307428
pack:0 ax, -0.0265045 ay, 0.23262 az, 9.69919
GoogleYaw, -0.895326 GooglePitch, -0.0267466 GoogleRoll, 0.00307428
pack:0 ax, -0.0265045 ay, 0.23262 az, 9.69919
GoogleYaw, -0.895393 GooglePitch, -0.0268102 GoogleRoll, 0.00305309
pack:0 ax, -0.0574493 ay, 0.275467 az, 9.76822
GoogleYaw, -0.895393 GooglePitch, -0.0268102 GoogleRoll, 0.00305309
pack:0 ax, -0.0574493 ay, 0.275467 az, 9.76822
GoogleYaw, -0.895236 GooglePitch, -0.0267161 GoogleRoll, 0.00303271
pack:0 ax, -0.0407867 ay, 0.237381 az, 9.70395
GoogleYaw, -0.895409 GooglePitch, -0.0267548 GoogleRoll, 0.0031383
pack:0 ax, -0.0288849 ay, 0.270706 az, 9.68253
GoogleYaw, -0.895409 GooglePitch, -0.0267548 GoogleRoll, 0.0031383
pack:0 ax, -0.0288849 ay, 0.270706 az, 9.68253
GoogleYaw, -0.895409 GooglePitch, -0.0267548 GoogleRoll, 0.0031383
pack:0 ax, -0.0288849 ay, 0.270706 az, 9.68253
GoogleYaw, -0.895409 GooglePitch, -0.0267548 GoogleRoll, 0.0031383
pack:0 ax, -0.0288849 ay, 0.270706 az, 9.68253
GoogleYaw, -0.895348 GooglePitch, -0.026668 GoogleRoll, 0.0031944
pack:0 ax, -0.0455475 ay, 0.246902 az, 9.83725
GoogleYaw, -0.895348 GooglePitch, -0.026668 GoogleRoll, 0.0031944
pack:0 ax, -0.0455475 ay, 0.246902 az, 9.83725
GoogleYaw, -0.895348 GooglePitch, -0.026668 GoogleRoll, 0.0031944
pack:0 ax, -0.0455475 ay, 0.246902 az, 9.83725
GoogleYaw, -0.895374 GooglePitch, -0.0267 GoogleRoll, 0.00317682
pack:0 ax, -0.0455475 ay, 0.246902 az, 9.83725
GoogleYaw, -0.895374 GooglePitch, -0.0267 GoogleRoll, 0.00317682
pack:0 ax, -0.00984192 ay, 0.268326 az, 9.68967
GoogleYaw, -0.895374 GooglePitch, -0.0267 GoogleRoll, 0.00317682
pack:0 ax, -0.00984192 ay, 0.268326 az, 9.68967
GoogleYaw, -0.895374 GooglePitch, -0.0267 GoogleRoll, 0.00317682
pack:0 ax, -0.00984192 ay, 0.268326 az, 9.68967
GoogleYaw, -0.895374 GooglePitch, -0.0267 GoogleRoll, 0.00317682
pack:0 ax, -0.00984192 ay, 0.268326 az, 9.68967
GoogleYaw, -0.895328 GooglePitch, -0.0266458 GoogleRoll, 0.00320479
