pack:0 ax, -0.0265045 ay, 0.282608 az, 9.82535
GoogleYaw, -0.896253 GooglePitch, -0.026985 GoogleRoll, 0.0036006
pack:0 ax, -0.0265045 ay, 0.282608 az, 9.82535
GoogleYaw, -0.896035 GooglePitch, -0.0268992 GoogleRoll, 0.00351458
pack:0 ax, -0.055069 ay, 0.282608 az, 9.73489
GoogleYaw, -0.896035 GooglePitch, -0.0268992 GoogleRoll, 0.00351458
pack:0 ax, -0.055069 ay, 0.282608 az, 9.73489
GoogleYaw, -0.896035 GooglePitch, -0.0268992 GoogleRoll, 0.00351458
pack:0 ax, -0.055069 ay, 0.282608 az, 9.73489
GoogleYaw, -0.896116 GooglePitch, -0.0269856 GoogleRoll, 0.00347656
pack:0 ax, -0.055069 ay, 0.282608 az, 9.73489
GoogleYaw, -0.896116 GooglePitch, -0.0269856 GoogleRoll, 0.00347656
pack:0 ax, -0.0241241 ay, 0.29451 az, 9.78012
GoogleYaw, -0.896116 GooglePitch, -0.0269856 GoogleRoll, 0.00347656
pack:0 ax, -0.0241241 ay, 0.29451 az, 9.78012
GoogleYaw, -0.896116 GooglePitch, -0.0269856 GoogleRoll, 0.00347656
pack:0 ax, -0.0241241 ay, 0.29451 az, 9.78012
GoogleYaw, -0.896116 GooglePitch, -0.0269856 GoogleRoll, 0.00347656
pack:0 ax, -0.0241241 ay, 0.29451 az, 9.78012
GoogleYaw, -0.896324 GooglePitch, -0.0270673 GoogleRoll, 0.0035588
pack:0 ax, 0.0211029 ay, 0.282608 az, 9.72061
GoogleYaw, -0.896324 GooglePitch, -0.0270673 GoogleRoll, 0.0035588
pack:0 ax, 0.0211029 ay, 0.282608 az, 9.72061
GoogleYaw, -0.896444 GooglePitch, -0.0271723 GoogleRoll, 0.00353224
pack:0 ax, 0.0211029 ay, 0.282608 az, 9.72061
GoogleYaw, -0.896444 GooglePitch, -0.0271723 GoogleRoll, 0.00353224
pack:0 ax, 0.0211029 ay, 0.282608 az, 9.72061
GoogleYaw, -0.896444 GooglePitch, -0.0271723 GoogleRoll, 0.00353224
pack:0 ax, -0.0455475 ay, 0.244522 az, 9.8063
GoogleYaw, -0.896444 GooglePitch, -0.0271723 GoogleRoll, 0.00353224
pack:0 ax, -0.0455475 ay, 0.244522 az, 9.8063
GoogleYaw, -0.896339 GooglePitch, -0.0272387 GoogleRoll, 0.00335284
pack:0 ax, -0.0455475 ay, 0.239761 az, 9.76346
GoogleYaw, -0.896339 GooglePitch, -0.0272387 GoogleRoll, 0.00335284
pack:0 ax, -0.0455475 ay, 0.239761 az, 9.76346
GoogleYaw, -0.896293 GooglePitch, -0.0271649 GoogleRoll, 0.00340635
pack:0 ax, -0.0479279 ay, 0.211197 az, 9.72299
GoogleYaw, -0.896293 GooglePitch, -0.0271649 GoogleRoll, 0.00340635
pack:0 ax, -0.0479279 ay, 0.211197 az, 9.72299
GoogleYaw, -0.896293 GooglePitch, -0.0271649 GoogleRoll, 0.00340635
pack:0 ax, -0.0479279 ay, 0.211197 az, 9.72299
GoogleYaw, -0.896206 GooglePitch, -0.027071 GoogleRoll, 0.00344828
pack:0 ax, -0.0479279 ay, 0.211197 az, 9.72299
GoogleYaw, -0.896206 GooglePitch, -0.027071 GoogleRoll, 0.00344828
pack:0 ax, -0.0526886 ay, 0.277847 az, 9.82535
GoogleYaw, -0.896206 GooglePitch, -0.027071 GoogleRoll, 0.00344828
pack:0 ax, -0.0526886 ay, 0.277847 az, 9.82535
GoogleYaw, -0.896206 GooglePitch, -0.027071 GoogleRoll, 0.00344828
pack:0 ax, -0.0526886 ay, 0.277847 az, 9.82535
GoogleYaw, -0.896206 GooglePitch, -0.027071 GoogleRoll, 0.00344828
pack:0 ax, -0.0526886 ay, 0.277847 az, 9.82535
GoogleYaw, -0.896012 GooglePitch, -0.0268967 GoogleRoll, 0.00349715
