pack:0 ax, 0.0425262 ay, 0.239761 az, 9.66586
GoogleYaw, -0.87796 GooglePitch, -0.0271508 GoogleRoll, 0.0029703
pack:0 ax, 0.0425262 ay, 0.239761 az, 9.66586
GoogleYaw, -0.87796 GooglePitch, -0.0271508 GoogleRoll, 0.0029703
pack:0 ax, 0.0425262 ay, 0.239761 az, 9.66586
GoogleYaw, -0.87796 GooglePitch, -0.0271508 GoogleRoll, 0.0029703
pack:0 ax, 0.0425262 ay, 0.239761 az, 9.66586
GoogleYaw, -0.878057 GooglePitch, -0.0271146 GoogleRoll, 0.00310486
pack:0 ax, -0.0526886 ay, 0.263565 az, 9.76822
GoogleYaw, -0.878057 GooglePitch, -0.0271146 GoogleRoll, 0.00310486
pack:0 ax, -0.0526886 ay, 0.263565 az, 9.76822
GoogleYaw, -0.878057 GooglePitch, -0.0271146 GoogleRoll, 0.00310486
pack:0 ax, -0.0526886 ay, 0.263565 az, 9.76822
GoogleYaw, -0.878057 GooglePitch, -0.0271146 GoogleRoll, 0.00310486
pack:0 ax, -0.0526886 ay, 0.263565 az, 9.76822
GoogleYaw, -0.877662 GooglePitch, -0.0270366 GoogleRoll, 0.00283544
pack:0 ax, -0.0384064 ay, 0.282608 az, 9.84439
GoogleYaw, -0.877662 GooglePitch, -0.0270366 GoogleRoll, 0.00283544
pack:0 ax, -0.0384064 ay, 0.282608 az, 9.84439
GoogleYaw, -0.877762 GooglePitch, -0.0270433 GoogleRoll, 0.00291967
pack:0 ax, 0.00682068 ay, 0.246902 az, 9.72061
GoogleYaw, -0.877857 GooglePitch, -0.0270975 GoogleRoll, 0.00294097
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.78726
GoogleYaw, -0.877857 GooglePitch, -0.0270975 GoogleRoll, 0.00294097
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.78726
GoogleYaw, -0.877594 GooglePitch, -0.0270173 GoogleRoll, 0.00279639
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.78726
GoogleYaw, -0.877594 GooglePitch, -0.0270173 GoogleRoll, 0.00279639
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.78726
GoogleYaw, -0.877594 GooglePitch, -0.0270173 GoogleRoll, 0.00279639
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.73013
GoogleYaw, -0.877594 GooglePitch, -0.0270173 GoogleRoll, 0.00279639
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.73013
GoogleYaw, -0.877594 GooglePitch, -0.0270173 GoogleRoll, 0.00279639
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.73013
GoogleYaw, -0.877594 GooglePitch, -0.0270173 GoogleRoll, 0.00279639
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.73013
GoogleYaw, -0.877665 GooglePitch, -0.0270425 GoogleRoll, 0.00283159
pack:0 ax, -0.0574493 ay, 0.29213 az, 9.72537
GoogleYaw, -0.877665 GooglePitch, -0.0270425 GoogleRoll, 0.00283159
pack:0 ax, -0.0574493 ay, 0.29213 az, 9.72537
GoogleYaw, -0.877665 GooglePitch, -0.0270425 GoogleRoll, 0.00283159
pack:0 ax, -0.0574493 ay, 0.29213 az, 9.72537
GoogleYaw, -0.877665 GooglePitch, -0.0270425 GoogleRoll, 0.00283159
pack:0 ax, -0.0574493 ay, 0.29213 az, 9.72537
GoogleYaw, -0.877608 GooglePitch, -0.0270259 GoogleRoll, 0.00279891
pack:0 ax, -0.00508118 ay, 0.29213 az, 9.80154
GoogleYaw, -0.877608 GooglePitch, -0.0270259 GoogleRoll, 0.00279891
pack:0 ax, -0.00508118 ay, 0.29213 az, 9.80154
GoogleYaw, -0.877864 GooglePitch, -0.0271435 GoogleRoll, 0.00289078
pack:0 ax, -0.0146027 ay, 0.29451 az, 9.73965
GoogleYaw, -0.877904 GooglePitch, -0.0272309 GoogleRoll, 0.00281963
pack:0 ax, -0.0598297 ay, 0.270706 az, 9.76822
GoogleYaw, -0.877904 GooglePitch, -0.0272309 GoogleRoll, 0.00281963
pack:0 ax, -0.0598297 ay, 0.270706 az, 9.76822
GoogleYaw, -0.877963 GooglePitch, -0.0272929 GoogleRoll, 0.0027974
pack:0 ax, -0.0598297 ay, 0.270706 az, 9.76822
GoogleYaw, -0.877963 GooglePitch, -0.0272929 GoogleRoll, 0.0027974
pack:0 ax, -0.0598297 ay, 0.270706 az, 9.76822
GoogleYaw, -0.877963 GooglePitch, -0.0272929 GoogleRoll, 0.0027974
pack:0 ax, -0.0455475 ay, 0.265945 az, 9.69443
GoogleYaw, -0.877963 GooglePitch, -0.0272929 GoogleRoll, 0.0027974
pack:0 ax, -0.0455475 ay, 0.265945 az, 9.69443
GoogleYaw, -0.877963 GooglePitch, -0.0272929 GoogleRoll, 0.0027974
pack:0 ax, -0.0455475 ay, 0.265945 az, 9.69443
GoogleYaw, -0.877963 GooglePitch, -0.0272929 GoogleRoll, 0.0027974
pack:0 ax, -0.0455475 ay, 0.265945 az, 9.69443
GoogleYaw, -0.878064 GooglePitch, -0.0272798 GoogleRoll, 0.00290746
pack:0 ax, 0.0187225 ay, 0.258804 az, 9.70395
GoogleYaw, -0.878064 GooglePitch, -0.0272798 GoogleRoll, 0.00290746
pack:0 ax, 0.0187225 ay, 0.258804 az, 9.70395
GoogleYaw, -0.878064 GooglePitch, -0.0272798 GoogleRoll, 0.00290746
pack:0 ax, 0.0187225 ay, 0.258804 az, 9.70395
GoogleYaw, -0.878064 GooglePitch, -0.0272798 GoogleRoll, 0.00290746
pack:0 ax, 0.0187225 ay, 0.258804 az, 9.70395
GoogleYaw, -0.878109 GooglePitch, -0.0272831 GoogleRoll, 0.00294507
pack:0 ax, -0.0193634 ay, 0.237381 az, 9.74203
GoogleYaw, -0.877895 GooglePitch, -0.0272714 GoogleRoll, 0.0027614
pack:0 ax, -0.00746155 ay, 0.256424 az, 9.74442
GoogleYaw, -0.877895 GooglePitch, -0.0272714 GoogleRoll, 0.0027614
pack:0 ax, -0.00746155 ay, 0.256424 az, 9.74442
GoogleYaw, -0.877895 GooglePitch, -0.0272714 GoogleRoll, 0.0027614
pack:0 ax, -0.00746155 ay, 0.256424 az, 9.74442
GoogleYaw, -0.877735 GooglePitch, -0.027173 GoogleRoll, 0.00273448
pack:0 ax, -0.0265045 ay, 0.273087 az, 9.73013
GoogleYaw, -0.877631 GooglePitch, -0.0271325 GoogleRoll, 0.00268805
pack:0 ax, -0.0265045 ay, 0.254044 az, 9.7825
GoogleYaw, -0.877631 GooglePitch, -0.0271325 GoogleRoll, 0.00268805
pack:0 ax, -0.0265045 ay, 0.254044 az, 9.7825
GoogleYaw, -0.877631 GooglePitch, -0.0271325 GoogleRoll, 0.00268805
pack:0 ax, -0.0265045 ay, 0.254044 az, 9.7825
GoogleYaw, -0.877631 GooglePitch, -0.0271325 GoogleRoll, 0.00268805
pack:0 ax, -0.0265045 ay, 0.254044 az, 9.7825
GoogleYaw, -0.877653 GooglePitch, -0.0271413 GoogleRoll, 0.00269779
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.69443
GoogleYaw, -0.877653 GooglePitch, -0.0271413 GoogleRoll, 0.00269779
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.69443
GoogleYaw, -0.877653 GooglePitch, -0.0271413 GoogleRoll, 0.00269779
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.69443
GoogleYaw, -0.877653 GooglePitch, -0.0271413 GoogleRoll, 0.00269779
pack:0 ax, -0.0217438 ay, 0.258804 az, 9.69443
GoogleYaw, -0.877597 GooglePitch, -0.0271005 GoogleRoll, 0.00269617
pack:0 ax, -0.0265045 ay, 0.237381 az, 9.81583
GoogleYaw, -0.877597 GooglePitch, -0.0271005 GoogleRoll, 0.00269617
pack:0 ax, -0.0265045 ay, 0.237381 az, 9.81583
GoogleYaw, -0.877597 GooglePitch, -0.0271005 GoogleRoll, 0.00269617
pack:0 ax, -0.0265045 ay, 0.237381 az, 9.81583
GoogleYaw, -0.877622 GooglePitch, -0.0271164 GoogleRoll, 0.00269973
pack:0 ax, -0.0265045 ay, 0.237381 az, 9.81583
GoogleYaw, -0.877622 GooglePitch, -0.0271164 GoogleRoll, 0.00269973
pack:0 ax, -0.0241241 ay, 0.251663 az, 9.82059
GoogleYaw, -0.877622 GooglePitch, -0.0271164 GoogleRoll, 0.00269973
pack:0 ax, -0.0241241 ay, 0.251663 az, 9.82059
GoogleYaw, -0.877534 GooglePitch, -0.0270266 GoogleRoll, 0.00272912
pack:0 ax, -0.0241241 ay, 0.251663 az, 9.82059
GoogleYaw, -0.877441 GooglePitch, -0.0269574 GoogleRoll, 0.00272909
pack:0 ax, -0.0407867 ay, 0.270706 az, 9.76822
GoogleYaw, -0.877441 GooglePitch, -0.0269574 GoogleRoll, 0.00272909
pack:0 ax, 0.0115814 ay, 0.256424 az, 9.73013
GoogleYaw, -0.877441 GooglePitch, -0.0269574 GoogleRoll, 0.00272909
pack:0 ax, 0.0115814 ay, 0.256424 az, 9.73013
GoogleYaw, -0.877441 GooglePitch, -0.0269574 GoogleRoll, 0.00272909
pack:0 ax, 0.0115814 ay, 0.256424 az, 9.73013
GoogleYaw, -0.877441 GooglePitch, -0.0269574 GoogleRoll, 0.00272909
pack:0 ax, 0.0115814 ay, 0.256424 az, 9.73013
GoogleYaw, -0.877498 GooglePitch, -0.0269706 GoogleRoll, 0.00276562
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.74442
GoogleYaw, -0.877498 GooglePitch, -0.0269706 GoogleRoll, 0.00276562
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.74442
GoogleYaw, -0.877498 GooglePitch, -0.0269706 GoogleRoll, 0.00276562
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.74442
GoogleYaw, -0.877498 GooglePitch, -0.0269706 GoogleRoll, 0.00276562
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.74442
GoogleYaw, -0.877322 GooglePitch, -0.0269382 GoogleRoll, 0.00264267
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.73013
GoogleYaw, -0.877322 GooglePitch, -0.0269382 GoogleRoll, 0.00264267
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.73013
GoogleYaw, -0.877322 GooglePitch, -0.0269382 GoogleRoll, 0.00264267
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.73013
GoogleYaw, -0.877255 GooglePitch, -0.0268789 GoogleRoll, 0.00265382
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.73013
GoogleYaw, -0.877255 GooglePitch, -0.0268789 GoogleRoll, 0.00265382
pack:0 ax, -0.00270081 ay, 0.244522 az, 9.72061
GoogleYaw, -0.877255 GooglePitch, -0.0268789 GoogleRoll, 0.00265382
pack:0 ax, -0.00270081 ay, 0.244522 az, 9.72061
GoogleYaw, -0.877302 GooglePitch, -0.0268658 GoogleRoll, 0.0027135
pack:0 ax, -0.0122223 ay, 0.254044 az, 9.73965
GoogleYaw, -0.877157 GooglePitch, -0.0268074 GoogleRoll, 0.00265146
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.76108
GoogleYaw, -0.877157 GooglePitch, -0.0268074 GoogleRoll, 0.00265146
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.76108
GoogleYaw, -0.877157 GooglePitch, -0.0268074 GoogleRoll, 0.00265146
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.76108
GoogleYaw, -0.877157 GooglePitch, -0.0268074 GoogleRoll, 0.00265146
pack:0 ax, -0.0384064 ay, 0.261185 az, 9.76108
GoogleYaw, -0.877096 GooglePitch, -0.0267919 GoogleRoll, 0.00261355
pack:0 ax, -0.0407867 ay, 0.273087 az, 9.74442
GoogleYaw, -0.877096 GooglePitch, -0.0267919 GoogleRoll, 0.00261355
pack:0 ax, -0.0407867 ay, 0.273087 az, 9.74442
GoogleYaw, -0.877096 GooglePitch, -0.0267919 GoogleRoll, 0.00261355
pack:0 ax, -0.0407867 ay, 0.273087 az, 9.74442
GoogleYaw, -0.877096 GooglePitch, -0.0267919 GoogleRoll, 0.00261355
pack:0 ax, -0.0407867 ay, 0.273087 az, 9.74442
GoogleYaw, -0.877163 GooglePitch, -0.0267994 GoogleRoll, 0.00266644
pack:0 ax, -0.0669708 ay, 0.304031 az, 9.81583
GoogleYaw, -0.877163 GooglePitch, -0.0267994 GoogleRoll, 0.00266644
pack:0 ax, -0.0669708 ay, 0.304031 az, 9.81583
GoogleYaw, -0.877163 GooglePitch, -0.0267994 GoogleRoll, 0.00266644
pack:0 ax, -0.0669708 ay, 0.304031 az, 9.81583
GoogleYaw, -0.877271 GooglePitch, -0.0268487 GoogleRoll, 0.00270556
pack:0 ax, -0.0669708 ay, 0.304031 az, 9.81583
GoogleYaw, -0.877271 GooglePitch, -0.0268487 GoogleRoll, 0.00270556
pack:0 ax, -0.0384064 ay, 0.251663 az, 9.7468
GoogleYaw, -0.877271 GooglePitch, -0.0268487 GoogleRoll, 0.00270556
pack:0 ax, -0.0384064 ay, 0.251663 az, 9.7468
GoogleYaw, -0.877592 GooglePitch, -0.0269955 GoogleRoll, 0.00282188
pack:0 ax, -0.0241241 ay, 0.263565 az, 9.77774
GoogleYaw, -0.877552 GooglePitch, -0.0269444 GoogleRoll, 0.00284739
pack:0 ax, -0.00508118 ay, 0.261185 az, 9.81583
GoogleYaw, -0.877552 GooglePitch, -0.0269444 GoogleRoll, 0.00284739
pack:0 ax, -0.00508118 ay, 0.261185 az, 9.81583
GoogleYaw, -0.877552 GooglePitch, -0.0269444 GoogleRoll, 0.00284739
pack:0 ax, -0.00508118 ay, 0.261185 az, 9.81583
GoogleYaw, -0.877552 GooglePitch, -0.0269444 GoogleRoll, 0.00284739
pack:0 ax, -0.00508118 ay, 0.261185 az, 9.81583
GoogleYaw, -0.877518 GooglePitch, -0.0269226 GoogleRoll, 0.00284324
pack:0 ax, -0.0479279 ay, 0.280228 az, 9.71347
GoogleYaw, -0.877518 GooglePitch, -0.0269226 GoogleRoll, 0.00284324
pack:0 ax, -0.0479279 ay, 0.280228 az, 9.71347
GoogleYaw, -0.877518 GooglePitch, -0.0269226 GoogleRoll, 0.00284324
pack:0 ax, -0.0479279 ay, 0.280228 az, 9.71347
GoogleYaw, -0.877518 GooglePitch, -0.0269226 GoogleRoll, 0.00284324
pack:0 ax, -0.0479279 ay, 0.280228 az, 9.71347
GoogleYaw, -0.877391 GooglePitch, -0.0269001 GoogleRoll, 0.00275357
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.72537
GoogleYaw, -0.877391 GooglePitch, -0.0269001 GoogleRoll, 0.00275357
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.72537
GoogleYaw, -0.877391 GooglePitch, -0.0269001 GoogleRoll, 0.00275357
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.72537
GoogleYaw, -0.877505 GooglePitch, -0.0269527 GoogleRoll, 0.00279383
pack:0 ax, -0.0407867 ay, 0.277847 az, 9.72537
GoogleYaw, -0.877505 GooglePitch, -0.0269527 GoogleRoll, 0.00279383
pack:0 ax, -0.0336456 ay, 0.268326 az, 9.74203
GoogleYaw, -0.877505 GooglePitch, -0.0269527 GoogleRoll, 0.00279383
pack:0 ax, -0.0336456 ay, 0.268326 az, 9.74203
GoogleYaw, -0.877612 GooglePitch, -0.0270046 GoogleRoll, 0.0028289
pack:0 ax, -0.0384064 ay, 0.249283 az, 9.74918
GoogleYaw, -0.877666 GooglePitch, -0.0270209 GoogleRoll, 0.00285825
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.79202
GoogleYaw, -0.877666 GooglePitch, -0.0270209 GoogleRoll, 0.00285825
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.79202
GoogleYaw, -0.877666 GooglePitch, -0.0270209 GoogleRoll, 0.00285825
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.79202
GoogleYaw, -0.877666 GooglePitch, -0.0270209 GoogleRoll, 0.00285825
pack:0 ax, -0.0455475 ay, 0.256424 az, 9.79202
GoogleYaw, -0.877656 GooglePitch, -0.0269606 GoogleRoll, 0.00292368
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.69681
GoogleYaw, -0.877656 GooglePitch, -0.0269606 GoogleRoll, 0.00292368
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.69681
GoogleYaw, -0.877656 GooglePitch, -0.0269606 GoogleRoll, 0.00292368
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.69681
GoogleYaw, -0.877656 GooglePitch, -0.0269606 GoogleRoll, 0.00292368
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.69681
GoogleYaw, -0.877716 GooglePitch, -0.0269432 GoogleRoll, 0.00300112
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.8063
GoogleYaw, -0.877716 GooglePitch, -0.0269432 GoogleRoll, 0.00300112
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.8063
GoogleYaw, -0.877716 GooglePitch, -0.0269432 GoogleRoll, 0.00300112
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.8063
GoogleYaw, -0.877736 GooglePitch, -0.0269862 GoogleRoll, 0.00296641
pack:0 ax, -0.0336456 ay, 0.275467 az, 9.8063
GoogleYaw, -0.877736 GooglePitch, -0.0269862 GoogleRoll, 0.00296641
pack:0 ax, -0.036026 ay, 0.23262 az, 9.76822
GoogleYaw, -0.877736 GooglePitch, -0.0269862 GoogleRoll, 0.00296641
pack:0 ax, -0.036026 ay, 0.23262 az, 9.76822
GoogleYaw, -0.877803 GooglePitch, -0.0270421 GoogleRoll, 0.00295968
pack:0 ax, -0.0312653 ay, 0.258804 az, 9.71823
GoogleYaw, -0.877671 GooglePitch, -0.0269329 GoogleRoll, 0.00297173
pack:0 ax, -0.0146027 ay, 0.29213 az, 9.86343
GoogleYaw, -0.877671 GooglePitch, -0.0269329 GoogleRoll, 0.00297173
pack:0 ax, -0.0146027 ay, 0.29213 az, 9.86343
GoogleYaw, -0.877671 GooglePitch, -0.0269329 GoogleRoll, 0.00297173
pack:0 ax, -0.0146027 ay, 0.29213 az, 9.86343
