pack:0 ax, -0.0764923 ay, 0.277847 az, 9.76346
GoogleYaw, 0.328552 GooglePitch, -0.0277883 GoogleRoll, 0.00985652
pack:0 ax, -0.0764923 ay, 0.277847 az, 9.76346
GoogleYaw, 0.328552 GooglePitch, -0.0277883 GoogleRoll, 0.00985652
pack:0 ax, -0.0764923 ay, 0.277847 az, 9.76346
GoogleYaw, 0.328552 GooglePitch, -0.0277883 GoogleRoll, 0.00985652
pack:0 ax, -0.0764923 ay, 0.277847 az, 9.76346
GoogleYaw, 0.328552 GooglePitch, -0.0277487 GoogleRoll, 0.00984235
pack:0 ax, -0.0883942 ay, 0.244522 az, 9.7825
GoogleYaw, 0.328552 GooglePitch, -0.0277487 GoogleRoll, 0.00984235
pack:0 ax, -0.0883942 ay, 0.244522 az, 9.7825
GoogleYaw, 0.328552 GooglePitch, -0.0277487 GoogleRoll, 0.00984235
pack:0 ax, -0.0883942 ay, 0.244522 az, 9.7825
GoogleYaw, 0.328693 GooglePitch, -0.0277977 GoogleRoll, 0.00977779
pack:0 ax, -0.0883942 ay, 0.244522 az, 9.7825
GoogleYaw, 0.328693 GooglePitch, -0.0277977 GoogleRoll, 0.00977779
pack:0 ax, -0.121719 ay, 0.261185 az, 9.71347
GoogleYaw, 0.328693 GooglePitch, -0.0277977 GoogleRoll, 0.00977779
pack:0 ax, -0.121719 ay, 0.261185 az, 9.71347
GoogleYaw, 0.328693 GooglePitch, -0.0277977 GoogleRoll, 0.00977779
pack:0 ax, -0.121719 ay, 0.261185 az, 9.71347
GoogleYaw, 0.328693 GooglePitch, -0.0277977 GoogleRoll, 0.00977779
pack:0 ax, -0.121719 ay, 0.261185 az, 9.71347
GoogleYaw, 0.328713 GooglePitch, -0.0277393 GoogleRoll, 0.00974577
pack:0 ax, -0.119339 ay, 0.258804 az, 9.76108
GoogleYaw, 0.328558 GooglePitch, -0.0277258 GoogleRoll, 0.0098311
pack:0 ax, -0.119339 ay, 0.258804 az, 9.76108
GoogleYaw, 0.328558 GooglePitch, -0.0277258 GoogleRoll, 0.0098311
pack:0 ax, -0.0836334 ay, 0.244522 az, 9.73965
GoogleYaw, 0.328558 GooglePitch, -0.0277258 GoogleRoll, 0.0098311
pack:0 ax, -0.0836334 ay, 0.244522 az, 9.73965
GoogleYaw, 0.328388 GooglePitch, -0.0276797 GoogleRoll, 0.00991388
pack:0 ax, -0.131241 ay, 0.280228 az, 9.75394
GoogleYaw, 0.328388 GooglePitch, -0.0276797 GoogleRoll, 0.00991388
pack:0 ax, -0.131241 ay, 0.280228 az, 9.75394
GoogleYaw, 0.328388 GooglePitch, -0.0276797 GoogleRoll, 0.00991388
pack:0 ax, -0.131241 ay, 0.280228 az, 9.75394
GoogleYaw, 0.328388 GooglePitch, -0.0276797 GoogleRoll, 0.00991388
