pack:0 ax, -0.0122223 ay, 0.223099 az, 9.77298
GoogleYaw, -1.03568 GooglePitch, -0.0262875 GoogleRoll, 0.00353728
pack:0 ax, -0.0122223 ay, 0.223099 az, 9.77298
GoogleYaw, -1.03589 GooglePitch, -0.026407 GoogleRoll, 0.00355576
pack:0 ax, -0.0122223 ay, 0.223099 az, 9.77298
GoogleYaw, -1.03589 GooglePitch, -0.026407 GoogleRoll, 0.00355576
pack:0 ax, -0.0122223 ay, 0.223099 az, 9.77298
GoogleYaw, -1.03589 GooglePitch, -0.026407 GoogleRoll, 0.00355576
pack:0 ax, -0.0336456 ay, 0.265945 az, 9.78488
GoogleYaw, -1.03589 GooglePitch, -0.026407 GoogleRoll, 0.00355576
pack:0 ax, -0.0336456 ay, 0.265945 az, 9.78488
GoogleYaw, -1.03561 GooglePitch, -0.0262787 GoogleRoll, 0.0034769
pack:0 ax, -0.0193634 ay, 0.244522 az, 9.83249
GoogleYaw, -1.03565 GooglePitch, -0.02631 GoogleRoll, 0.00346364
pack:0 ax, -0.0312653 ay, 0.235001 az, 9.71585
GoogleYaw, -1.03565 GooglePitch, -0.02631 GoogleRoll, 0.00346364
pack:0 ax, -0.0312653 ay, 0.235001 az, 9.71585
GoogleYaw, -1.03565 GooglePitch, -0.02631 GoogleRoll, 0.00346364
pack:0 ax, -0.0312653 ay, 0.235001 az, 9.71585
GoogleYaw, -1.03544 GooglePitch, -0.0262321 GoogleRoll, 0.00338127
pack:0 ax, -0.0312653 ay, 0.235001 az, 9.71585
GoogleYaw, -1.03544 GooglePitch, -0.0262321 GoogleRoll, 0.00338127
pack:0 ax, -0.0503082 ay, 0.273087 az, 9.7468
GoogleYaw, -1.03544 GooglePitch, -0.0262321 GoogleRoll, 0.00338127
pack:0 ax, -0.0503082 ay, 0.273087 az, 9.7468
GoogleYaw, -1.03544 GooglePitch, -0.0262321 GoogleRoll, 0.00338127
pack:0 ax, -0.0503082 ay, 0.273087 az, 9.7468
GoogleYaw, -1.03544 GooglePitch, -0.0262321 GoogleRoll, 0.00338127
pack:0 ax, -0.0503082 ay, 0.273087 az, 9.7468
GoogleYaw, -1.03527 GooglePitch, -0.0261347 GoogleRoll, 0.00336387
pack:0 ax, -0.0384064 ay, 0.273087 az, 9.74203
GoogleYaw, -1.03527 GooglePitch, -0.0261347 GoogleRoll, 0.00336387
pack:0 ax, -0.0384064 ay, 0.273087 az, 9.74203
