pack:0 ax, -0.0598297 ay, 0.284988 az, 9.7706
GoogleYaw, -0.896354 GooglePitch, -0.0268158 GoogleRoll, 0.00390776
pack:0 ax, -0.0598297 ay, 0.284988 az, 9.7706
GoogleYaw, -0.896316 GooglePitch, -0.0267693 GoogleRoll, 0.00393373
pack:0 ax, -0.0217438 ay, 0.237381 az, 9.74442
GoogleYaw, -0.896488 GooglePitch, -0.0268322 GoogleRoll, 0.00400703
pack:0 ax, -0.055069 ay, 0.258804 az, 9.74442
GoogleYaw, -0.896488 GooglePitch, -0.0268322 GoogleRoll, 0.00400703
pack:0 ax, -0.055069 ay, 0.258804 az, 9.74442
GoogleYaw, -0.896319 GooglePitch, -0.026743 GoogleRoll, 0.00397002
pack:0 ax, -0.055069 ay, 0.258804 az, 9.74442
GoogleYaw, -0.896319 GooglePitch, -0.026743 GoogleRoll, 0.00397002
pack:0 ax, -0.055069 ay, 0.258804 az, 9.74442
GoogleYaw, -0.896319 GooglePitch, -0.026743 GoogleRoll, 0.00397002
pack:0 ax, -0.0669708 ay, 0.251663 az, 9.85629
GoogleYaw, -0.896319 GooglePitch, -0.026743 GoogleRoll, 0.00397002
pack:0 ax, -0.0669708 ay, 0.251663 az, 9.85629
GoogleYaw, -0.896319 GooglePitch, -0.026743 GoogleRoll, 0.00397002
pack:0 ax, -0.0669708 ay, 0.251663 az, 9.85629
GoogleYaw, -0.896319 GooglePitch, -0.026743 GoogleRoll, 0.00397002
pack:0 ax, -0.0669708 ay, 0.251663 az, 9.85629
GoogleYaw, -0.896396 GooglePitch, -0.0267306 GoogleRoll, 0.0040546
pack:0 ax, -0.0431671 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896396 GooglePitch, -0.0267306 GoogleRoll, 0.0040546
pack:0 ax, -0.0431671 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896396 GooglePitch, -0.0267306 GoogleRoll, 0.0040546
pack:0 ax, -0.0431671 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896396 GooglePitch, -0.0267306 GoogleRoll, 0.0040546
pack:0 ax, -0.0431671 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896443 GooglePitch, -0.0266836 GoogleRoll, 0.00415732
pack:0 ax, -0.0645905 ay, 0.284988 az, 9.76584
GoogleYaw, -0.896523 GooglePitch, -0.0267324 GoogleRoll, 0.00416705
pack:0 ax, -0.0503082 ay, 0.275467 az, 9.73013
GoogleYaw, -0.896523 GooglePitch, -0.0267324 GoogleRoll, 0.00416705
pack:0 ax, -0.0503082 ay, 0.275467 az, 9.73013
GoogleYaw, -0.896523 GooglePitch, -0.0267324 GoogleRoll, 0.00416705
pack:0 ax, -0.0503082 ay, 0.275467 az, 9.73013
GoogleYaw, -0.89675 GooglePitch, -0.0268278 GoogleRoll, 0.00424887
pack:0 ax, -0.0265045 ay, 0.304031 az, 9.70157
GoogleYaw, -0.89675 GooglePitch, -0.0268278 GoogleRoll, 0.00424887
pack:0 ax, -0.0265045 ay, 0.304031 az, 9.70157
GoogleYaw, -0.896869 GooglePitch, -0.0268696 GoogleRoll, 0.00430202
pack:0 ax, -0.0265045 ay, 0.304031 az, 9.70157
GoogleYaw, -0.896869 GooglePitch, -0.0268696 GoogleRoll, 0.00430202
pack:0 ax, -0.0265045 ay, 0.304031 az, 9.70157
GoogleYaw, -0.896869 GooglePitch, -0.0268696 GoogleRoll, 0.00430202
pack:0 ax, -0.0455475 ay, 0.225479 az, 9.75632
GoogleYaw, -0.896869 GooglePitch, -0.0268696 GoogleRoll, 0.00430202
pack:0 ax, -0.0455475 ay, 0.225479 az, 9.75632
GoogleYaw, -0.896869 GooglePitch, -0.0268696 GoogleRoll, 0.00430202
pack:0 ax, -0.0455475 ay, 0.225479 az, 9.75632
GoogleYaw, -0.896869 GooglePitch, -0.0268696 GoogleRoll, 0.00430202
pack:0 ax, -0.0455475 ay, 0.225479 az, 9.75632
GoogleYaw, -0.897047 GooglePitch, -0.0270208 GoogleRoll, 0.00426824
pack:0 ax, -0.0122223 ay, 0.251663 az, 9.74203
GoogleYaw, -0.897047 GooglePitch, -0.0270208 GoogleRoll, 0.00426824
pack:0 ax, -0.0122223 ay, 0.251663 az, 9.74203
GoogleYaw, -0.897047 GooglePitch, -0.0270208 GoogleRoll, 0.00426824
pack:0 ax, -0.0122223 ay, 0.251663 az, 9.74203
GoogleYaw, -0.897047 GooglePitch, -0.0270208 GoogleRoll, 0.00426824
pack:0 ax, -0.0122223 ay, 0.251663 az, 9.74203
GoogleYaw, -0.896895 GooglePitch, -0.0269044 GoogleRoll, 0.00428131
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.72537
GoogleYaw, -0.896749 GooglePitch, -0.0268724 GoogleRoll, 0.00419095
pack:0 ax, -0.00508118 ay, 0.256424 az, 9.7825
GoogleYaw, -0.896749 GooglePitch, -0.0268724 GoogleRoll, 0.00419095
pack:0 ax, -0.00508118 ay, 0.256424 az, 9.7825
GoogleYaw, -0.896795 GooglePitch, -0.026896 GoogleRoll, 0.00420161
pack:0 ax, -0.00508118 ay, 0.256424 az, 9.7825
GoogleYaw, -0.896795 GooglePitch, -0.026896 GoogleRoll, 0.00420161
pack:0 ax, -0.00984192 ay, 0.239761 az, 9.76346
GoogleYaw, -0.89666 GooglePitch, -0.0268974 GoogleRoll, 0.00407867
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.7468
GoogleYaw, -0.89666 GooglePitch, -0.0268974 GoogleRoll, 0.00407867
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.7468
GoogleYaw, -0.89666 GooglePitch, -0.0268974 GoogleRoll, 0.00407867
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.7468
GoogleYaw, -0.89666 GooglePitch, -0.0268974 GoogleRoll, 0.00407867
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.7468
GoogleYaw, -0.896426 GooglePitch, -0.0268128 GoogleRoll, 0.00397634
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.80154
GoogleYaw, -0.896426 GooglePitch, -0.0268128 GoogleRoll, 0.00397634
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.80154
GoogleYaw, -0.896426 GooglePitch, -0.0268128 GoogleRoll, 0.00397634
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.80154
GoogleYaw, -0.896426 GooglePitch, -0.0268128 GoogleRoll, 0.00397634
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.80154
GoogleYaw, -0.896249 GooglePitch, -0.0267952 GoogleRoll, 0.00383972
pack:0 ax, -0.0384064 ay, 0.254044 az, 9.72061
GoogleYaw, -0.896249 GooglePitch, -0.0267952 GoogleRoll, 0.00383972
pack:0 ax, -0.0384064 ay, 0.254044 az, 9.72061
GoogleYaw, -0.896249 GooglePitch, -0.0267952 GoogleRoll, 0.00383972
pack:0 ax, -0.0384064 ay, 0.254044 az, 9.72061
GoogleYaw, -0.896174 GooglePitch, -0.0267288 GoogleRoll, 0.00385803
pack:0 ax, -0.0384064 ay, 0.254044 az, 9.72061
GoogleYaw, -0.896174 GooglePitch, -0.0267288 GoogleRoll, 0.00385803
pack:0 ax, -0.0645905 ay, 0.273087 az, 9.80869
GoogleYaw, -0.896174 GooglePitch, -0.0267288 GoogleRoll, 0.00385803
pack:0 ax, -0.0645905 ay, 0.273087 az, 9.80869
GoogleYaw, -0.896178 GooglePitch, -0.0267125 GoogleRoll, 0.00388254
pack:0 ax, -0.0479279 ay, 0.246902 az, 9.7468
GoogleYaw, -0.896364 GooglePitch, -0.0267642 GoogleRoll, 0.00398331
pack:0 ax, -0.0574493 ay, 0.306412 az, 9.77774
GoogleYaw, -0.896364 GooglePitch, -0.0267642 GoogleRoll, 0.00398331
pack:0 ax, -0.0574493 ay, 0.306412 az, 9.77774
GoogleYaw, -0.896364 GooglePitch, -0.0267642 GoogleRoll, 0.00398331
pack:0 ax, -0.0574493 ay, 0.306412 az, 9.77774
GoogleYaw, -0.896364 GooglePitch, -0.0267642 GoogleRoll, 0.00398331
pack:0 ax, -0.0574493 ay, 0.306412 az, 9.77774
GoogleYaw, -0.896403 GooglePitch, -0.026751 GoogleRoll, 0.00403495
pack:0 ax, -0.0574493 ay, 0.251663 az, 9.75394
GoogleYaw, -0.896403 GooglePitch, -0.026751 GoogleRoll, 0.00403495
pack:0 ax, -0.0574493 ay, 0.251663 az, 9.75394
GoogleYaw, -0.896403 GooglePitch, -0.026751 GoogleRoll, 0.00403495
pack:0 ax, -0.0574493 ay, 0.251663 az, 9.75394
GoogleYaw, -0.896403 GooglePitch, -0.026751 GoogleRoll, 0.00403495
pack:0 ax, -0.0574493 ay, 0.251663 az, 9.75394
GoogleYaw, -0.896717 GooglePitch, -0.0269075 GoogleRoll, 0.00411697
pack:0 ax, -0.0503082 ay, 0.254044 az, 9.71585
GoogleYaw, -0.896717 GooglePitch, -0.0269075 GoogleRoll, 0.00411697
pack:0 ax, -0.0503082 ay, 0.254044 az, 9.71585
GoogleYaw, -0.896717 GooglePitch, -0.0269075 GoogleRoll, 0.00411697
pack:0 ax, -0.0503082 ay, 0.254044 az, 9.71585
GoogleYaw, -0.896744 GooglePitch, -0.026864 GoogleRoll, 0.00419655
pack:0 ax, -0.0503082 ay, 0.254044 az, 9.71585
GoogleYaw, -0.896744 GooglePitch, -0.026864 GoogleRoll, 0.00419655
pack:0 ax, -0.0265045 ay, 0.235001 az, 9.7825
GoogleYaw, -0.896744 GooglePitch, -0.026864 GoogleRoll, 0.00419655
pack:0 ax, -0.0265045 ay, 0.235001 az, 9.7825
GoogleYaw, -0.896763 GooglePitch, -0.0268439 GoogleRoll, 0.00423942
pack:0 ax, -0.0146027 ay, 0.265945 az, 9.71585
GoogleYaw, -0.896565 GooglePitch, -0.0267533 GoogleRoll, 0.00417807
pack:0 ax, -0.0122223 ay, 0.265945 az, 9.80154
GoogleYaw, -0.896565 GooglePitch, -0.0267533 GoogleRoll, 0.00417807
pack:0 ax, -0.0122223 ay, 0.265945 az, 9.80154
GoogleYaw, -0.896565 GooglePitch, -0.0267533 GoogleRoll, 0.00417807
pack:0 ax, -0.0122223 ay, 0.265945 az, 9.80154
GoogleYaw, -0.896565 GooglePitch, -0.0267533 GoogleRoll, 0.00417807
pack:0 ax, -0.0122223 ay, 0.265945 az, 9.80154
GoogleYaw, -0.896478 GooglePitch, -0.0267774 GoogleRoll, 0.00406881
pack:0 ax, -0.0574493 ay, 0.261185 az, 9.80154
GoogleYaw, -0.896478 GooglePitch, -0.0267774 GoogleRoll, 0.00406881
pack:0 ax, -0.0574493 ay, 0.261185 az, 9.80154
GoogleYaw, -0.896478 GooglePitch, -0.0267774 GoogleRoll, 0.00406881
pack:0 ax, -0.0574493 ay, 0.261185 az, 9.80154
GoogleYaw, -0.896478 GooglePitch, -0.0267774 GoogleRoll, 0.00406881
pack:0 ax, -0.0574493 ay, 0.261185 az, 9.80154
GoogleYaw, -0.896384 GooglePitch, -0.0267929 GoogleRoll, 0.00396413
pack:0 ax, -0.036026 ay, 0.258804 az, 9.65872
GoogleYaw, -0.896384 GooglePitch, -0.0267929 GoogleRoll, 0.00396413
pack:0 ax, -0.036026 ay, 0.258804 az, 9.65872
GoogleYaw, -0.896384 GooglePitch, -0.0267929 GoogleRoll, 0.00396413
pack:0 ax, -0.036026 ay, 0.258804 az, 9.65872
GoogleYaw, -0.89645 GooglePitch, -0.0267813 GoogleRoll, 0.00403815
pack:0 ax, -0.036026 ay, 0.258804 az, 9.65872
GoogleYaw, -0.89645 GooglePitch, -0.0267813 GoogleRoll, 0.00403815
pack:0 ax, -0.0146027 ay, 0.258804 az, 9.76108
GoogleYaw, -0.89645 GooglePitch, -0.0267813 GoogleRoll, 0.00403815
pack:0 ax, -0.0146027 ay, 0.258804 az, 9.76108
GoogleYaw, -0.896418 GooglePitch, -0.0267751 GoogleRoll, 0.00401766
pack:0 ax, -0.0598297 ay, 0.265945 az, 9.70633
GoogleYaw, -0.896283 GooglePitch, -0.02677 GoogleRoll, 0.00390265
pack:0 ax, -0.0479279 ay, 0.268326 az, 9.80154
GoogleYaw, -0.896283 GooglePitch, -0.02677 GoogleRoll, 0.00390265
pack:0 ax, -0.0479279 ay, 0.268326 az, 9.80154
GoogleYaw, -0.896283 GooglePitch, -0.02677 GoogleRoll, 0.00390265
pack:0 ax, -0.0479279 ay, 0.268326 az, 9.80154
GoogleYaw, -0.896283 GooglePitch, -0.02677 GoogleRoll, 0.00390265
pack:0 ax, -0.0479279 ay, 0.268326 az, 9.80154
GoogleYaw, -0.896427 GooglePitch, -0.0268048 GoogleRoll, 0.00398793
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896427 GooglePitch, -0.0268048 GoogleRoll, 0.00398793
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896427 GooglePitch, -0.0268048 GoogleRoll, 0.00398793
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896427 GooglePitch, -0.0268048 GoogleRoll, 0.00398793
pack:0 ax, -0.0288849 ay, 0.273087 az, 9.73727
GoogleYaw, -0.896557 GooglePitch, -0.0268478 GoogleRoll, 0.0040494
pack:0 ax, -0.0526886 ay, 0.261185 az, 9.78964
GoogleYaw, -0.896557 GooglePitch, -0.0268478 GoogleRoll, 0.0040494
pack:0 ax, -0.0526886 ay, 0.261185 az, 9.78964
GoogleYaw, -0.896614 GooglePitch, -0.0268911 GoogleRoll, 0.00404483
pack:0 ax, -0.0526886 ay, 0.261185 az, 9.78964
GoogleYaw, -0.896614 GooglePitch, -0.0268911 GoogleRoll, 0.00404483
pack:0 ax, -0.0455475 ay, 0.275467 az, 9.74918
GoogleYaw, -0.896655 GooglePitch, -0.0268773 GoogleRoll, 0.0041001
pack:0 ax, -0.0384064 ay, 0.280228 az, 9.74918
GoogleYaw, -0.896765 GooglePitch, -0.0269473 GoogleRoll, 0.00410888
pack:0 ax, -0.0384064 ay, 0.280228 az, 9.74918
GoogleYaw, -0.896765 GooglePitch, -0.0269473 GoogleRoll, 0.00410888
pack:0 ax, -0.0288849 ay, 0.261185 az, 9.74442
GoogleYaw, -0.896765 GooglePitch, -0.0269473 GoogleRoll, 0.00410888
